,,,,,a_attendance_count,,a_user_name,a_user_stage,b.diamond,b.ruby,boxAllCount,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),Minigame_Product_draw_8__3300,3300,2025-11-30 17:29,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,294213,89910,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_7__3300,3300,2025-11-30 17:29,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,294213,96510,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_7__3300,3300,2025-11-30 17:29,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,294213,103110,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_7__3300,3300,2025-11-30 17:00,28386d90-cda5-11f0-9849-731cdd0a8d80,1,a_user_name,두우루,48,106729,0,1080,1,GooglePlay,2025-11-30,11000,8736
ItemPurchased (App),돌발_승급__0__330,330,2025-11-30 16:56,28386d90-cda5-11f0-9849-731cdd0a8d80,1,a_user_name,두우루,48,10234,330,1080,1,GooglePlay,2025-11-30,11000,8736
ItemPurchased (App),구독권1__770,770,2025-11-30 16:51,fa266380-807a-11ef-bd85-c334686e1c45,423,a_user_name,꿈쥐,1540,1534593,25010,278940,0,OneStore,2024-10-02,5727700,3
ItemPurchased (App),돌발_사형수 스테이지__20__5500,5500,2025-11-30 16:33,ef56db60-6391-11f0-8ad1-495afdf38cf0,129,a_user_name,딱쎄,1016,107028,270,16350,1,GooglePlay,2025-07-18,731500,65
ItemPurchased (App),돌발_무기2__7__3300,3300,2025-11-30 16:02,0e6915f0-c6ba-11f0-9bf1-7bcba8fcdbf5,10,a_user_name,늙기싫다,232,13802,0,1530,1,GooglePlay,2025-11-21,20900,4248
ItemPurchased (App),(기간한정 주간)장비__0__1100,1100,2025-11-30 16:01,e91894d0-ca1d-11f0-9f1b-c982aae6f004,5,a_user_name,퓨텐,182,8613,0,3830,1,GooglePlay,2025-11-25,29700,4844
ItemPurchased (App),돌발_동료__3__1100,1100,2025-11-30 15:41,8de0bd40-6d07-11f0-8662-b3a8d615c0d7,124,a_user_name,마늘쫑,923,253923,2310,12870,1,GooglePlay,2025-07-30,1085700,125
ItemPurchased (App),돌발_회심타데미지__1__990,990,2025-11-30 15:41,72e42630-95b1-11f0-9cdc-e7577ac60a57,72,a_user_name,문현석,969,282862,50,53390,1,GooglePlay,2025-09-19,1521300,75
ItemPurchased (App),(기간한정 일간)영웅__0__110,110,2025-11-30 15:31,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,a_user_name,왕현,465,7983,0,6440,1,GooglePlay,2025-11-03,117700,1797
ItemPurchased (App),돌발_사형수 스테이지__0__1100,1100,2025-11-30 14:33,fa3ed290-cb87-11f0-9e51-894ebf494c0d,4,a_user_name,smy,173,77865,0,4500,1,GooglePlay,2025-11-27,36300,5057
ItemPurchased (App),(기간한정 주간)가속__0__1100,1100,2025-11-30 14:32,fa3ed290-cb87-11f0-9e51-894ebf494c0d,4,a_user_name,smy,173,67865,0,4500,1,GooglePlay,2025-11-27,25300,5057
ItemPurchased (App),계정한정__무기소환__1__110,110,2025-11-30 14:28,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,52,76755,0,1930,1,GooglePlay,2025-11-30,40700,8861
ItemPurchased (App),계정한정__조선소환__1__550,550,2025-11-30 14:14,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,46,214630,550,1140,1,GooglePlay,2025-11-30,40700,9207
ItemPurchased (App),계정한정__조선소환__0__110,110,2025-11-30 14:13,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,46,214630,550,1140,1,GooglePlay,2025-11-30,40700,9207
ItemPurchased (App),계정한정__고려소환__0__110,110,2025-11-30 14:13,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,46,210630,770,1140,1,GooglePlay,2025-11-30,40700,9207
ItemPurchased (App),계정한정__갑옷소환__1__110,110,2025-11-30 14:13,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,46,209630,880,1140,1,GooglePlay,2025-11-30,40700,9207
ItemPurchased (App),계정한정__무기소환__1__110,110,2025-11-30 14:12,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,46,205530,990,1080,1,GooglePlay,2025-11-30,40700,9207
ItemPurchased (App),구독권2__1980,1980,2025-11-30 14:11,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,a_user_name,유금필,46,129430,2970,1080,1,GooglePlay,2025-11-30,40700,9207
ItemPurchased (App),돌발_승급__0__330,330,2025-11-30 14:08,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,394462,4290,7330,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),돌발_동료__4__1100,1100,2025-11-30 13:35,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,a_user_name,왕현,460,45914,0,6440,1,GooglePlay,2025-11-03,106700,1825
ItemPurchased (App),계정한정__가속소환__2__1100,1100,2025-11-30 13:31,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,246656,5390,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 일간)연구석__0__110,110,2025-11-30 13:31,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,246656,5500,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 주간)가속__0__1100,1100,2025-11-30 13:31,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,236656,6600,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 주간)장비__0__1100,1100,2025-11-30 13:31,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,226656,7700,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 주간)다이아__0__1100,1100,2025-11-30 13:31,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,216656,8800,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 주간)입장권__0__1100,1100,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,51656,9900,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 일간)어빌석__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,46656,10010,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 일간)가속__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,41656,10120,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 일간)장비__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,37156,10230,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 일간)다이아__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,32656,10340,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),(기간한정 일간)입장권2__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,16156,10450,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),계정한정__가속소환__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,14156,10560,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),계정한정__조선소환__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,12156,10670,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),계정한정__고려소환__0__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,10156,10780,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),계정한정__갑옷소환__1__110,110,2025-11-30 13:30,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,a_user_name,머하쇼,244,9156,10890,6000,1,GooglePlay,2025-11-17,117700,4093
ItemPurchased (App),계정한정__무기소환__1__110,110,2025-11-30 13:21,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,a_user_name,왕현,455,20439,0,6440,1,GooglePlay,2025-11-03,95700,1850
ItemPurchased (App),계정한정__가속소환__1__550,550,2025-11-30 13:21,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,a_user_name,왕현,455,17439,550,6440,1,GooglePlay,2025-11-03,95700,1850
ItemPurchased (App),계정한정__조선소환__1__550,550,2025-11-30 12:34,581a8580-c47b-11f0-beb5-7feca43c2a56,13,a_user_name,사앙추,252,15379,0,7180,1,GooglePlay,2025-11-18,73700,3892
ItemPurchased (App),계정한정__갑옷소환__1__110,110,2025-11-30 12:23,1d360770-c6d1-11f0-98ff-7fb8a6e16035,10,a_user_name,미천태왕,227,226098,220,4240,1,GooglePlay,2025-11-21,29700,4324
ItemPurchased (App),구독권2__1980,1980,2025-11-30 12:21,4374e1c0-8939-11f0-9347-3929b0cef372,86,a_user_name,doyoung,854,1101475,220,8010,1,GooglePlay,2025-09-04,854700,218
ItemPurchased (App),돌발_던전3__10__990,990,2025-11-30 12:12,349d16a0-7a83-11f0-9776-f3aff39091b6,103,a_user_name,fly84,545,778735,330,28030,1,GooglePlay,2025-08-16,433400,1211
ItemPurchased (App),돌발_다이아__1__3300,3300,2025-11-30 11:48,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,a_user_name,소오스,336,373513,550,10170,1,GooglePlay,2025-11-12,337700,2870
ItemPurchased (App),돌발_던전1__3__990,990,2025-11-30 11:42,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,a_user_name,소오스,331,329963,1540,10160,1,GooglePlay,2025-11-12,337700,2959
ItemPurchased (App),돌발_사형수__1__1100,1100,2025-11-30 11:34,064c1710-cccc-11f0-a115-db1c4cd620d2,2,a_user_name,크래커,25,154126,0,600,1,GooglePlay,2025-11-29,7700,10243
ItemPurchased (App),구독권1__770,770,2025-11-30 11:34,6c358910-8485-11f0-b877-6b79a932a8be,94,a_user_name,난세17,544,18873,0,18560,1,GooglePlay,2025-08-29,73700,1227
ItemPurchased (App),(기간한정 일간)입장권2__0__110,110,2025-11-30 11:33,6c358910-8485-11f0-b877-6b79a932a8be,94,a_user_name,난세17,544,34598,110,18560,1,GooglePlay,2025-08-29,73700,1227
ItemPurchased (App),다이아패키지3__990,990,2025-11-30 11:19,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,a_user_name,소오스,312,171479,2640,10010,1,GooglePlay,2025-11-12,337700,3086
ItemPurchased (App),돌발_조선2__4__3300,3300,2025-11-30 11:19,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,a_user_name,소오스,312,161479,5940,10010,1,GooglePlay,2025-11-12,337700,3086
ItemPurchased (App),돌발_고려2__5__3300,3300,2025-11-30 11:19,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,a_user_name,소오스,312,151479,9240,10010,1,GooglePlay,2025-11-12,337700,3086
ItemPurchased (App),돌발_육성2__3__990,990,2025-11-30 11:19,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,a_user_name,소오스,312,131479,10230,10010,1,GooglePlay,2025-11-12,337700,3086
ItemPurchased (App),돌발_사형수__0__1100,1100,2025-11-30 11:01,f39b7070-6371-11f0-a70b-97528033efd5,136,a_user_name,홍길동이,862,600168,110,8360,1,GooglePlay,2025-07-18,18700,199
ItemPurchased (App),돌발_회심타확률__9__990,990,2025-11-30 10:12,62b29a40-cd82-11f0-ac5a-7356ce8ae352,1,a_user_name,와노,54,7750,0,720,1,GooglePlay,2025-11-30,11000,9558
ItemPurchased (App),계정한정__무기소환__1__110,110,2025-11-30 10:12,62b29a40-cd82-11f0-ac5a-7356ce8ae352,1,a_user_name,와노,54,6750,110,720,1,GooglePlay,2025-11-30,11000,9558
ItemPurchased (App),계정한정__고려소환__0__110,110,2025-11-30 10:12,62b29a40-cd82-11f0-ac5a-7356ce8ae352,1,a_user_name,와노,54,4750,220,720,1,GooglePlay,2025-11-30,11000,9558
ItemPurchased (App),계정한정__조선소환__0__110,110,2025-11-30 9:46,62b29a40-cd82-11f0-ac5a-7356ce8ae352,1,a_user_name,와노,28,88865,330,300,1,GooglePlay,2025-11-30,11000,10235
ItemPurchased (App),구독권1__770,770,2025-11-30 9:41,a48810f0-8348-11f0-9fd3-5d20e161d92a,96,a_user_name,혼천마,731,4378381,2530,19720,1,GooglePlay,2025-08-27,1026300,505
ItemPurchased (App),돌발_회심타확률__7__990,990,2025-11-30 8:37,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,152,337693,0,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),계정한정__갑옷소환__1__110,110,2025-11-30 8:37,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,152,336693,110,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),계정한정__무기소환__1__110,110,2025-11-30 8:37,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,152,335693,220,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),계정한정__조선소환__0__110,110,2025-11-30 8:37,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,152,333693,330,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),계정한정__고려소환__0__110,110,2025-11-30 8:23,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,126,330518,440,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),스테이지 패스__0__550,550,2025-11-30 8:22,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,124,232468,990,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_육성2__0__990,990,2025-11-30 8:22,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,124,212468,1980,1630,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_고려2__1__550,550,2025-11-30 8:20,c4a11590-c0ff-11f0-8d80-c75a37bc3dcb,17,a_user_name,원주민,371,7379,550,16130,1,GooglePlay,2025-11-14,202400,2545
ItemPurchased (App),돌발_패기__0__550,550,2025-11-30 8:17,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,193743,2530,1540,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_던전3__0__550,550,2025-11-30 8:17,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,188743,3080,1540,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_던전1__0__550,550,2025-11-30 8:16,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,173743,3630,1540,1,GooglePlay,2025-11-29,62700,6174
ItemPurchased (App),돌발_던전2__0__550,550,2025-11-30 8:16,d5bd07f0-ccce-11f0-ad50-ffdb466958b0,2,a_user_name,베슬,118,168743,4180,1540,1,GooglePlay,2025-11-29,62700,6174
