"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-27 07:28:43"",""UserUUID"":""36883860-8545-11f0-ae3c-29a303a1e907"",""a_attendance_count"":165,""a_user_name"":""알푸스날두"",""a_user_stage"":427,""b.diamond"":374452,""b.ruby"":0,""boxAllCount"":19260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-30"",""total_payment_amount"":0,""user_rank"":2970}"
"Order Complete (App)","{""Time"":""2026-02-27 07:27:40"",""UserUUID"":""c592a2a0-6788-11f0-8310-8370146853a0"",""a_attendance_count"":184,""a_user_name"":""난포기"",""a_user_stage"":1404,""b.diamond"":2640164,""b.ruby"":110,""boxAllCount"":29870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-23"",""total_payment_amount"":1787500,""user_rank"":43}"
"Order Complete (App)","{""Time"":""2026-02-27 07:08:58"",""UserUUID"":""dad84e50-a5e8-11f0-8240-21e719137fdd"",""a_attendance_count"":141,""a_user_name"":""촉도리"",""a_user_stage"":964,""b.diamond"":70902,""b.ruby"":0,""boxAllCount"":21550,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-10"",""total_payment_amount"":300300,""user_rank"":569}"
"Order Complete (App)","{""Time"":""2026-02-27 07:06:30"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_attendance_count"":336,""a_user_name"":""우라이자강"",""a_user_stage"":1094,""b.diamond"":199145361,""b.ruby"":839991420,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":698500,""user_rank"":60}"
"Order Complete (App)","{""Time"":""2026-02-27 06:45:03"",""UserUUID"":""0ee81dd0-1315-11f1-8fbc-dd149782c531"",""a_attendance_count"":2,""a_user_name"":""돈없다"",""a_user_stage"":91,""b.diamond"":23380,""b.ruby"":0,""boxAllCount"":1980,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-26"",""total_payment_amount"":7700,""user_rank"":9008}"
"Order Complete (App)","{""Time"":""2026-02-27 06:45:27"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":6874,""b.ruby"":8250,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":9117900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 06:43:41"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":6474,""b.ruby"":550,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":9007900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 06:42:30"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":278,""b.diamond"":503674,""b.ruby"":0,""boxAllCount"":1500,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":357500,""user_rank"":4971}"
"Order Complete (App)","{""Time"":""2026-02-27 06:40:08"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":759474,""b.ruby"":1650,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8952900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 06:29:42"",""UserUUID"":""462c8680-f48b-11f0-94f2-9781757773f5"",""a_attendance_count"":40,""a_user_name"":""다라시온"",""a_user_stage"":1540,""b.diamond"":9778,""b.ruby"":550,""boxAllCount"":227740,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-18"",""total_payment_amount"":8842900,""user_rank"":12}"
"Order Complete (App)","{""Time"":""2026-02-27 06:36:33"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":278,""b.diamond"":289174,""b.ruby"":0,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":302500,""user_rank"":4971}"
"Order Complete (App)","{""Time"":""2026-02-27 06:21:57"",""UserUUID"":""767975f0-c227-11f0-8a91-efe8055e79d6"",""a_attendance_count"":105,""a_user_name"":""정빈"",""a_user_stage"":724,""b.diamond"":45498,""b.ruby"":0,""boxAllCount"":6370,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-11-15"",""total_payment_amount"":304700,""user_rank"":1169}"
"Order Complete (App)","{""Time"":""2026-02-27 06:14:39"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":266,""b.diamond"":169524,""b.ruby"":2200,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":302500,""user_rank"":5253}"
"Order Complete (App)","{""Time"":""2026-02-27 06:14:15"",""UserUUID"":""7f8d01d0-11e0-11f1-882e-4ddb431c63dd"",""a_attendance_count"":3,""a_user_name"":""안도준"",""a_user_stage"":266,""b.diamond"":169524,""b.ruby"":0,""boxAllCount"":1440,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-25"",""total_payment_amount"":280500,""user_rank"":5253}"
"Order Complete (App)","{""Time"":""2026-02-27 06:10:03"",""UserUUID"":""0d37aae0-0e84-11f1-a71e-770c9a60627d"",""a_attendance_count"":7,""a_user_name"":""써포트"",""a_user_stage"":322,""b.diamond"":140406,""b.ruby"":1100,""boxAllCount"":9870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-20"",""total_payment_amount"":260700,""user_rank"":4196}"
