"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_500 (App)","W:23_0A:21_0","58","{""Time"":""2026-02-27 08:09:03"",""UserUUID"":""0f9a9c30-e6e7-11f0-9cc8-6f95487ce91f"",""attendance_count"":58,""b.diamond"":268458,""b.ruby"":0,""boxAllCount"":18310,""curserver"":1,""install_day"":""2026-01-01"",""total_payment_amount"":7700,""user_name"":""shinder"",""user_rank"":2215,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:23_0","75","{""Time"":""2026-02-27 00:50:01"",""UserUUID"":""4020a900-d62d-11f0-8dc6-55fa0413df5b"",""attendance_count"":75,""b.diamond"":104465,""b.ruby"":0,""boxAllCount"":9440,""curserver"":1,""install_day"":""2025-12-11"",""total_payment_amount"":7700,""user_name"":""령월"",""user_rank"":2333,""user_stage"":500}"
"stage_reached_500 (App)","W:24_0A:21_0","68","{""Time"":""2026-02-26 11:38:46"",""UserUUID"":""7c4e4a10-ddb5-11f0-aae9-49b1f8cd9e1f"",""attendance_count"":68,""b.diamond"":9935,""b.ruby"":0,""boxAllCount"":27680,""curserver"":1,""install_day"":""2025-12-20"",""total_payment_amount"":7700,""user_name"":""현선"",""user_rank"":2342,""user_stage"":500}"
"stage_reached_500 (App)","W:24_4A:23_0","64","{""Time"":""2026-02-26 09:12:38"",""UserUUID"":""3f55f4c0-e14b-11f0-b14a-c134209cace5"",""attendance_count"":64,""b.diamond"":564744,""b.ruby"":0,""boxAllCount"":2400,""curserver"":1,""install_day"":""2025-12-25"",""total_payment_amount"":29700,""user_name"":""신교교주"",""user_rank"":2232,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:19_0","94","{""Time"":""2026-02-26 07:41:20"",""UserUUID"":""48535590-c882-11f0-ad69-372492fff6af"",""attendance_count"":94,""b.diamond"":57711,""b.ruby"":0,""boxAllCount"":6030,""curserver"":1,""install_day"":""2025-11-23"",""total_payment_amount"":0,""user_name"":""껑충이"",""user_rank"":2231,""user_stage"":500}"
"stage_reached_500 (App)","W:24_0A:22_0","58","{""Time"":""2026-02-26 06:28:05"",""UserUUID"":""895ea740-e44a-11f0-9d55-277b837a3536"",""attendance_count"":58,""b.diamond"":160246,""b.ruby"":0,""boxAllCount"":8140,""curserver"":1,""install_day"":""2025-12-29"",""total_payment_amount"":128700,""user_name"":""쎈벌꿀오소리"",""user_rank"":2224,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:23_0","76","{""Time"":""2026-02-26 05:17:32"",""UserUUID"":""ea9c1820-d771-11f0-8cbd-99bffed43d17"",""attendance_count"":76,""b.diamond"":306031,""b.ruby"":0,""boxAllCount"":22210,""curserver"":1,""install_day"":""2025-12-12"",""total_payment_amount"":7700,""user_name"":""무릎팍도사"",""user_rank"":2254,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:20_0","76","{""Time"":""2026-02-26 02:13:46"",""UserUUID"":""2f9b81e0-c8bd-11f0-aa30-7530b5e9ec5d"",""attendance_count"":76,""b.diamond"":703025,""b.ruby"":330,""boxAllCount"":8740,""curserver"":1,""install_day"":""2025-11-23"",""total_payment_amount"":11000,""user_name"":""박남순"",""user_rank"":2294,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:20_0","110","{""Time"":""2026-02-25 21:49:41"",""UserUUID"":""5d327250-baa6-11f0-a8a4-d5f0dc464370"",""attendance_count"":110,""b.diamond"":7018,""b.ruby"":0,""boxAllCount"":9690,""curserver"":1,""install_day"":""2025-11-06"",""total_payment_amount"":0,""user_name"":""bok"",""user_rank"":2229,""user_stage"":500}"
"stage_reached_500 (App)","W:21_0A:20_0","54","{""Time"":""2026-02-25 12:12:57"",""UserUUID"":""1b707870-e7e8-11f0-b0af-c3bd5116fde3"",""attendance_count"":54,""b.diamond"":343205,""b.ruby"":0,""boxAllCount"":6120,""curserver"":1,""install_day"":""2026-01-02"",""total_payment_amount"":7700,""user_name"":""기세가중요"",""user_rank"":2228,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:19_0","58","{""Time"":""2026-02-25 07:58:03"",""UserUUID"":""03168460-e57f-11f0-ad1f-69560f1c0369"",""attendance_count"":58,""b.diamond"":504180,""b.ruby"":110,""boxAllCount"":3930,""curserver"":1,""install_day"":""2025-12-30"",""total_payment_amount"":48400,""user_name"":""노지선"",""user_rank"":2213,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:19_0","60","{""Time"":""2026-02-25 00:23:40"",""UserUUID"":""b1386bd0-e48a-11f0-9ca4-256524071a18"",""attendance_count"":60,""b.diamond"":185073,""b.ruby"":0,""boxAllCount"":2820,""curserver"":1,""install_day"":""2025-12-29"",""total_payment_amount"":7700,""user_name"":""김뚱보"",""user_rank"":2351,""user_stage"":500}"
"stage_reached_500 (App)","W:24_4A:23_0","28","{""Time"":""2026-02-24 21:37:54"",""UserUUID"":""26d33dd0-fc40-11f0-afc4-e1a9a2488f4b"",""attendance_count"":28,""b.diamond"":2083613,""b.ruby"":440,""boxAllCount"":3530,""curserver"":1,""install_day"":""2026-01-28"",""total_payment_amount"":513700,""user_name"":""로니하온파파"",""user_rank"":2430,""user_stage"":500}"
"stage_reached_500 (App)","W:22_0A:23_0","158","{""Time"":""2026-02-24 20:18:05"",""UserUUID"":""47596e00-945c-11ef-ac62-17881ea29a04"",""attendance_count"":158,""b.diamond"":2466320,""b.ruby"":0,""boxAllCount"":20800,""curserver"":0,""install_day"":""2024-10-27"",""total_payment_amount"":78100,""user_name"":""캐릭"",""user_rank"":91,""user_stage"":500}"
"stage_reached_500 (App)","W:23_0A:21_0","57","{""Time"":""2026-02-24 17:25:04"",""UserUUID"":""789882b0-e584-11f0-ad1f-69560f1c0369"",""attendance_count"":57,""b.diamond"":5525,""b.ruby"":0,""boxAllCount"":16080,""curserver"":1,""install_day"":""2025-12-30"",""total_payment_amount"":7700,""user_name"":""심바쓰"",""user_rank"":2223,""user_stage"":500}"
"stage_reached_500 (App)","W:24_1A:21_0","78","{""Time"":""2026-02-24 13:57:14"",""UserUUID"":""c1d61350-d406-11f0-8df4-9bc43a5d7ea5"",""attendance_count"":78,""b.diamond"":34157,""b.ruby"":0,""boxAllCount"":9630,""curserver"":1,""install_day"":""2025-12-08"",""total_payment_amount"":13200,""user_name"":""힙슨"",""user_rank"":2200,""user_stage"":500}"
