"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-16 20:19:46"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":64,""b.diamond"":12961,""b.ruby"":110,""boxAllCount"":390,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":36300,""user_rank"":10933}"
"Order Complete (App)","{""Time"":""2026-02-16 20:16:39"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":64,""b.diamond"":14461,""b.ruby"":0,""boxAllCount"":390,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":29700,""user_rank"":10933}"
"Order Complete (App)","{""Time"":""2026-02-16 19:59:49"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":61,""b.diamond"":19411,""b.ruby"":1100,""boxAllCount"":330,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":18700,""user_rank"":11192}"
"Order Complete (App)","{""Time"":""2026-02-16 19:59:29"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":61,""b.diamond"":19411,""b.ruby"":0,""boxAllCount"":330,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":7700,""user_rank"":11192}"
"Order Complete (App)","{""Time"":""2026-02-16 19:39:00"",""UserUUID"":""89561630-0b22-11f1-926f-b15b4a3a30cc"",""a_attendance_count"":1,""a_user_name"":""탱크보이"",""a_user_stage"":7,""b.diamond"":18000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 19:36:25"",""UserUUID"":""20cdf200-09be-11f1-85c9-affe69cfcf92"",""a_attendance_count"":2,""a_user_name"":""송원영"",""a_user_stage"":47,""b.diamond"":70342,""b.ruby"":660,""boxAllCount"":780,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":6600,""user_rank"":14562}"
"Order Complete (App)","{""Time"":""2026-02-16 19:35:41"",""UserUUID"":""20cdf200-09be-11f1-85c9-affe69cfcf92"",""a_attendance_count"":2,""a_user_name"":""송원영"",""a_user_stage"":47,""b.diamond"":70342,""b.ruby"":0,""boxAllCount"":780,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":0,""user_rank"":14562}"
"Order Complete (App)","{""Time"":""2026-02-16 19:27:46"",""UserUUID"":""765f3530-a762-11f0-8a45-d31b6a591896"",""a_attendance_count"":128,""a_user_name"":""TripleS"",""a_user_stage"":1540,""b.diamond"":1454726,""b.ruby"":7080,""boxAllCount"":291750,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2025-10-12"",""total_payment_amount"":9606300,""user_rank"":3}"
"Order Complete (App)","{""Time"":""2026-02-16 19:17:25"",""UserUUID"":""ca6a7930-0b0a-11f1-921a-e3d589bd3635"",""a_attendance_count"":1,""a_user_name"":""정온"",""a_user_stage"":3,""b.diamond"":4000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 17:42:57"",""UserUUID"":""23112e30-07f0-11f1-9600-05af4bc24776"",""a_attendance_count"":5,""a_user_name"":""인사천재"",""a_user_stage"":276,""b.diamond"":2541,""b.ruby"":110,""boxAllCount"":10670,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":308000,""user_rank"":4485}"
