"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-02-16 20:00:22"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":61,""b.diamond"":180661,""b.ruby"":0,""boxAllCount"":330,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":29700,""user_rank"":11192}","육성 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-02-16 20:00:16"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":61,""b.diamond"":146911,""b.ruby"":550,""boxAllCount"":330,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":29700,""user_rank"":11192}","스테이지 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-02-16 20:00:10"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":61,""b.diamond"":101911,""b.ruby"":1100,""boxAllCount"":330,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":29700,""user_rank"":11192}","레벨 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-02-16 20:00:07"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":61,""b.diamond"":68161,""b.ruby"":1650,""boxAllCount"":330,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":29700,""user_rank"":11192}","사냥 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-02-16 19:45:01"",""UserUUID"":""20cdf200-09be-11f1-85c9-affe69cfcf92"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""송원영"",""a_user_stage"":49,""b.diamond"":70942,""b.ruby"":0,""boxAllCount"":780,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":7700,""user_rank"":14562}","구독권1__770",770
"ItemPurchased (App)","{""Time"":""2026-02-16 19:27:26"",""UserUUID"":""5db46940-ed4b-11f0-92e5-cf6622dbb87f"",""a_EventItem"":"""",""a_attendance_count"":19,""a_user_name"":""충치"",""a_user_stage"":406,""b.diamond"":131155,""b.ruby"":0,""boxAllCount"":7420,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-09"",""total_payment_amount"":300300,""user_rank"":3300}","(기간한정 일간)영웅__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 19:27:23"",""UserUUID"":""5db46940-ed4b-11f0-92e5-cf6622dbb87f"",""a_EventItem"":"""",""a_attendance_count"":19,""a_user_name"":""충치"",""a_user_stage"":406,""b.diamond"":126655,""b.ruby"":110,""boxAllCount"":7420,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-09"",""total_payment_amount"":300300,""user_rank"":3300}","(기간한정 일간)가속__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 19:27:17"",""UserUUID"":""5db46940-ed4b-11f0-92e5-cf6622dbb87f"",""a_EventItem"":"""",""a_attendance_count"":19,""a_user_name"":""충치"",""a_user_stage"":406,""b.diamond"":121655,""b.ruby"":220,""boxAllCount"":7420,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-09"",""total_payment_amount"":300300,""user_rank"":3300}","(기간한정 일간)연구석__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 19:27:14"",""UserUUID"":""5db46940-ed4b-11f0-92e5-cf6622dbb87f"",""a_EventItem"":"""",""a_attendance_count"":19,""a_user_name"":""충치"",""a_user_stage"":406,""b.diamond"":121655,""b.ruby"":330,""boxAllCount"":7420,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-09"",""total_payment_amount"":300300,""user_rank"":3300}","(기간한정 일간)입장권1__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 19:26:31"",""UserUUID"":""85d38400-0a02-11f1-8218-43a7bad363ff"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""단웅"",""a_user_stage"":128,""b.diamond"":1235180,""b.ruby"":6710,""boxAllCount"":2070,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-15"",""total_payment_amount"":227700,""user_rank"":7415}","계정한정__갑옷소환__2__550",550
"ItemPurchased (App)","{""Time"":""2026-02-16 17:43:24"",""UserUUID"":""23112e30-07f0-11f1-9600-05af4bc24776"",""a_EventItem"":"""",""a_attendance_count"":5,""a_user_name"":""인사천재"",""a_user_stage"":276,""b.diamond"":190041,""b.ruby"":110,""boxAllCount"":10670,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":319000,""user_rank"":4485}","사냥 패스__2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-16 16:08:34"",""UserUUID"":""bd521670-093b-11f1-bbaa-cb4215b1187c"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""러셀"",""a_user_stage"":42,""b.diamond"":382250,""b.ruby"":0,""boxAllCount"":90,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":7700,""user_rank"":13583}","구독권1__770",770
"ItemPurchased (App)","{""Time"":""2026-02-16 15:59:56"",""UserUUID"":""be349bd0-080a-11f1-ae32-531c14c5f394"",""a_EventItem"":"""",""a_attendance_count"":5,""a_user_name"":""민줄"",""a_user_stage"":151,""b.diamond"":19779,""b.ruby"":0,""boxAllCount"":3100,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":19800,""user_rank"":7016}","(기간한정 일간)입장권2__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 15:52:17"",""UserUUID"":""cc23a050-fe24-11f0-8cb5-f761ec76d908"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""이군7"",""a_user_stage"":282,""b.diamond"":117264,""b.ruby"":0,""boxAllCount"":6260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":119900,""user_rank"":4414}","돌발_고려2__3__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-16 14:48:13"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":145,""b.diamond"":69962,""b.ruby"":0,""boxAllCount"":2620,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":117700,""user_rank"":8342}","돌발_조선2__0__550",550
"ItemPurchased (App)","{""Time"":""2026-02-16 14:34:36"",""UserUUID"":""b05ee9e0-0ad8-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""넙치야"",""a_user_stage"":121,""b.diamond"":72012,""b.ruby"":550,""boxAllCount"":2530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":117700,""user_rank"":8342}","계정한정__조선소환__2__1100",1100
