"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_200 (App)","W:19_0A:19_0","5","{""Time"":""2026-02-27 08:55:13"",""UserUUID"":""30b40600-10b7-11f1-b396-b9cecfb1a20b"",""attendance_count"":5,""b.diamond"":12170,""b.ruby"":0,""boxAllCount"":960,""curserver"":1,""install_day"":""2026-02-23"",""total_payment_amount"":7700,""user_name"":""슈테른"",""user_rank"":6452,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:20_0","15","{""Time"":""2026-02-27 07:04:06"",""UserUUID"":""4eeb5aa0-fe93-11f0-ab77-37daa87a9901"",""attendance_count"":15,""b.diamond"":18435,""b.ruby"":0,""boxAllCount"":6760,""curserver"":1,""install_day"":""2026-01-31"",""total_payment_amount"":0,""user_name"":""동동장군"",""user_rank"":6450,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","7","{""Time"":""2026-02-27 05:03:14"",""UserUUID"":""d013efc0-0eab-11f1-8f91-0f674d68d193"",""attendance_count"":7,""b.diamond"":21136,""b.ruby"":0,""boxAllCount"":2880,""curserver"":1,""install_day"":""2026-02-20"",""total_payment_amount"":11000,""user_name"":""쿨레막"",""user_rank"":6430,""user_stage"":200}"
"stage_reached_200 (App)","W:22_0A:21_0","7","{""Time"":""2026-02-27 04:46:50"",""UserUUID"":""9105f190-0cf6-11f1-86a7-2302c1954ebd"",""attendance_count"":7,""b.diamond"":17387,""b.ruby"":0,""boxAllCount"":5110,""curserver"":1,""install_day"":""2026-02-18"",""total_payment_amount"":0,""user_name"":""카피카피"",""user_rank"":6607,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:19_0","10","{""Time"":""2026-02-27 04:26:48"",""UserUUID"":""f6d1cb20-0cc9-11f1-b892-f72f059673b0"",""attendance_count"":10,""b.diamond"":215570,""b.ruby"":0,""boxAllCount"":6120,""curserver"":1,""install_day"":""2026-02-18"",""total_payment_amount"":7700,""user_name"":""후리가리"",""user_rank"":6406,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:20_0","12","{""Time"":""2026-02-27 02:46:55"",""UserUUID"":""1c445190-68a4-11f0-9f2d-1164105dfac9"",""attendance_count"":12,""b.diamond"":190287,""b.ruby"":0,""boxAllCount"":6310,""curserver"":1,""install_day"":""2025-07-24"",""total_payment_amount"":7700,""user_name"":""pop090"",""user_rank"":6391,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","7","{""Time"":""2026-02-27 01:37:10"",""UserUUID"":""bee97d70-0f1c-11f1-a5b0-b97db4ea008f"",""attendance_count"":7,""b.diamond"":294752,""b.ruby"":660,""boxAllCount"":2710,""curserver"":1,""install_day"":""2026-02-21"",""total_payment_amount"":53900,""user_name"":""쏭이야"",""user_rank"":6506,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","11","{""Time"":""2026-02-27 00:12:12"",""UserUUID"":""403ee2c0-0c0c-11f1-b2f1-3923e98d49d2"",""attendance_count"":11,""b.diamond"":753600,""b.ruby"":0,""boxAllCount"":3750,""curserver"":1,""install_day"":""2026-02-17"",""total_payment_amount"":7700,""user_name"":""열래"",""user_rank"":6477,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:20_0","8","{""Time"":""2026-02-26 22:24:32"",""UserUUID"":""bf95d3b0-0ae2-11f1-bc77-1338a3b3c62c"",""attendance_count"":8,""b.diamond"":6346,""b.ruby"":0,""boxAllCount"":4030,""curserver"":1,""install_day"":""2026-02-16"",""total_payment_amount"":7700,""user_name"":""일격삑살"",""user_rank"":6477,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","7","{""Time"":""2026-02-26 21:54:48"",""UserUUID"":""e60e8af0-0e3e-11f1-b85c-9b02d9c90ce0"",""attendance_count"":7,""b.diamond"":45712,""b.ruby"":0,""boxAllCount"":2130,""curserver"":1,""install_day"":""2026-02-20"",""total_payment_amount"":7700,""user_name"":""국마"",""user_rank"":6442,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","9","{""Time"":""2026-02-26 21:47:47"",""UserUUID"":""53d1eb00-0c27-11f1-979a-1bef99a15b5f"",""attendance_count"":9,""b.diamond"":1418607,""b.ruby"":0,""boxAllCount"":2080,""curserver"":1,""install_day"":""2026-02-17"",""total_payment_amount"":7700,""user_name"":""강산"",""user_rank"":6389,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:19_0","6","{""Time"":""2026-02-26 21:15:39"",""UserUUID"":""3904d6e0-0e5a-11f1-ac9d-5d04eceff2cb"",""attendance_count"":6,""b.diamond"":252047,""b.ruby"":0,""boxAllCount"":1680,""curserver"":1,""install_day"":""2026-02-20"",""total_payment_amount"":7700,""user_name"":""백운휘"",""user_rank"":6425,""user_stage"":200}"
"stage_reached_200 (App)","W:19_0A:19_0","6","{""Time"":""2026-02-26 20:41:15"",""UserUUID"":""1f395fe0-0fbf-11f1-8f44-693073cb58c7"",""attendance_count"":6,""b.diamond"":28070,""b.ruby"":0,""boxAllCount"":2580,""curserver"":1,""install_day"":""2026-02-22"",""total_payment_amount"":7700,""user_name"":""최어흥"",""user_rank"":6454,""user_stage"":200}"
"stage_reached_200 (App)","W:23_0A:19_0","5","{""Time"":""2026-02-26 20:40:20"",""UserUUID"":""873965e0-0f42-11f1-b3db-f5138e0a5146"",""attendance_count"":5,""b.diamond"":17981,""b.ruby"":0,""boxAllCount"":240,""curserver"":1,""install_day"":""2026-02-21"",""total_payment_amount"":7700,""user_name"":""아이스핫초코"",""user_rank"":6454,""user_stage"":200}"
"stage_reached_200 (App)","W:19_0A:21_0","9","{""Time"":""2026-02-26 20:10:22"",""UserUUID"":""4a0ac500-0c9b-11f1-a801-cd0c8fc48868"",""attendance_count"":9,""b.diamond"":10457,""b.ruby"":0,""boxAllCount"":1680,""curserver"":1,""install_day"":""2026-02-18"",""total_payment_amount"":7700,""user_name"":""민아풍"",""user_rank"":6534,""user_stage"":200}"
"stage_reached_200 (App)","W:23_0A:20_0","3","{""Time"":""2026-02-26 19:44:17"",""UserUUID"":""95aa0040-10fe-11f1-996a-e9fc552342f3"",""attendance_count"":3,""b.diamond"":7215,""b.ruby"":0,""boxAllCount"":6630,""curserver"":1,""install_day"":""2026-02-23"",""total_payment_amount"":145200,""user_name"":""탁형"",""user_rank"":6398,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","7","{""Time"":""2026-02-26 18:54:21"",""UserUUID"":""9d3fe830-0e36-11f1-a6e4-4184134ccd7b"",""attendance_count"":7,""b.diamond"":31337,""b.ruby"":0,""boxAllCount"":6330,""curserver"":1,""install_day"":""2026-02-20"",""total_payment_amount"":40700,""user_name"":""송이남편"",""user_rank"":6532,""user_stage"":200}"
"stage_reached_200 (App)","W:22_0A:19_0","6","{""Time"":""2026-02-26 18:14:46"",""UserUUID"":""5334d980-0f0d-11f1-8959-c3e6bad6a6ac"",""attendance_count"":6,""b.diamond"":576995,""b.ruby"":0,""boxAllCount"":4520,""curserver"":1,""install_day"":""2026-02-21"",""total_payment_amount"":7700,""user_name"":""로킥"",""user_rank"":6804,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","6","{""Time"":""2026-02-26 12:10:10"",""UserUUID"":""986b5140-0edc-11f1-ac79-d7bae56d9b6e"",""attendance_count"":6,""b.diamond"":30764,""b.ruby"":0,""boxAllCount"":2730,""curserver"":1,""install_day"":""2026-02-21"",""total_payment_amount"":7700,""user_name"":""삼이사육오"",""user_rank"":6377,""user_stage"":200}"
