"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-02-27 07:43:19"",""UserUUID"":""c592a2a0-6788-11f0-8310-8370146853a0"",""a_EventItem"":"""",""a_attendance_count"":184,""a_user_name"":""난포기"",""a_user_stage"":1406,""b.diamond"":2464614,""b.ruby"":660,""boxAllCount"":34000,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-23"",""total_payment_amount"":1842500,""user_rank"":42}","돌발_갑옷2__5__3300",3300
"ItemPurchased (App)","{""Time"":""2026-02-27 07:42:42"",""UserUUID"":""75bffcb0-827b-11f0-80c1-3159ec3884c6"",""a_EventItem"":"""",""a_attendance_count"":186,""a_user_name"":""문학이"",""a_user_stage"":1448,""b.diamond"":234734,""b.ruby"":0,""boxAllCount"":40000,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-26"",""total_payment_amount"":2531100,""user_rank"":36}","돌발_나무__10__990",990
"ItemPurchased (App)","{""Time"":""2026-02-27 07:30:28"",""UserUUID"":""36883860-8545-11f0-ae3c-29a303a1e907"",""a_EventItem"":"""",""a_attendance_count"":165,""a_user_name"":""알푸스날두"",""a_user_stage"":427,""b.diamond"":374452,""b.ruby"":0,""boxAllCount"":19260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-30"",""total_payment_amount"":11000,""user_rank"":2970}","Minigame_Product_draw_2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-27 07:28:34"",""UserUUID"":""c592a2a0-6788-11f0-8310-8370146853a0"",""a_EventItem"":"""",""a_attendance_count"":184,""a_user_name"":""난포기"",""a_user_stage"":1404,""b.diamond"":2711164,""b.ruby"":3960,""boxAllCount"":29870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-23"",""total_payment_amount"":1842500,""user_rank"":43}","돌발_절멸타데미지__0__990",990
"ItemPurchased (App)","{""Time"":""2026-02-27 07:28:22"",""UserUUID"":""c592a2a0-6788-11f0-8310-8370146853a0"",""a_EventItem"":"""",""a_attendance_count"":184,""a_user_name"":""난포기"",""a_user_stage"":1404,""b.diamond"":2686164,""b.ruby"":4950,""boxAllCount"":29870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-23"",""total_payment_amount"":1842500,""user_rank"":43}","구독권3__660",660
"ItemPurchased (App)","{""Time"":""2026-02-27 07:23:35"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_EventItem"":"""",""a_attendance_count"":336,""a_user_name"":""우라이자강"",""a_user_stage"":1264,""b.diamond"":198265361,""b.ruby"":839970630,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":699600,""user_rank"":60}","(기간한정 주간)입장권__3__11000",11000
"ItemPurchased (App)","{""Time"":""2026-02-27 07:23:29"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_EventItem"":"""",""a_attendance_count"":336,""a_user_name"":""우라이자강"",""a_user_stage"":1262,""b.diamond"":196615361,""b.ruby"":839981630,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":699600,""user_rank"":60}","(기간한정 주간)입장권__2__5500",5500
"ItemPurchased (App)","{""Time"":""2026-02-27 07:23:23"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_EventItem"":"""",""a_attendance_count"":336,""a_user_name"":""우라이자강"",""a_user_stage"":1261,""b.diamond"":195795361,""b.ruby"":839987130,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":699600,""user_rank"":60}","(기간한정 주간)입장권__1__3300",3300
"ItemPurchased (App)","{""Time"":""2026-02-27 07:23:20"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_EventItem"":"""",""a_attendance_count"":336,""a_user_name"":""우라이자강"",""a_user_stage"":1261,""b.diamond"":195305361,""b.ruby"":839990430,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":699600,""user_rank"":60}","(기간한정 주간)입장권__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-27 07:20:08"",""UserUUID"":""dad84e50-a5e8-11f0-8240-21e719137fdd"",""a_EventItem"":"""",""a_attendance_count"":141,""a_user_name"":""촉도리"",""a_user_stage"":970,""b.diamond"":132577,""b.ruby"":0,""boxAllCount"":21550,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-10"",""total_payment_amount"":306900,""user_rank"":525}","(기간한정 일간)영웅__0__110",110
