date,gamer_id,gamerNickname,orderId,productName,productId,platform,tbc,price,status,type,details,currencyCode,,,,
2025-07-01 3:51,563acd70-55f8-11f0-b052-b30676afe98d,긴니시기,GPA.3306-0662-6863-07035,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-07-01 3:07,4ed6f1a0-5605-11f0-8a14-0fd5907ea351,Abubu,GPA.3324-1229-4720-16701,,ruby_4,Google,0,33000,성공,일반,0,KRW,33000,,,
2025-07-01 1:57,a2385730-547a-11f0-a93f-23837af82dae,시르온,GPA.3354-7971-4048-25888,,ruby_3,Google,0,11000,성공,일반,7700,KRW,11000,,,
2025-07-01 0:56,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3321-6254-7696-51249,,ruby_6,Google,0,110000,성공,일반,755700,KRW,110000,,,
2025-06-30 23:43,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250701084330S2210822,,ruby_2,Onestore,0,0,성공,일반,3588100,KRW,6600,,,
2025-06-30 20:26,a2385730-547a-11f0-a93f-23837af82dae,시르온,GPA.3356-2710-8509-42446,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 17:20,474b4120-55d3-11f0-966d-d5fb5a955893,유시에,GPA.3383-2218-3403-95227,,ruby_4,Google,0,33000,성공,일반,0,KRW,33000,,,
2025-06-30 15:27,6af85490-52f5-11f0-ad1c-1de0ea54cc87,흰둥아빠,GPA.3322-1835-0851-74485,,ruby_2,Google,0,6600,성공,일반,11000,KRW,6600,,,
2025-06-30 15:24,dfbab980-55c5-11f0-a73d-3dc9767e83af,주짓수코리아,GPA.3329-3776-2385-29002,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 14:46,6af85490-52f5-11f0-ad1c-1de0ea54cc87,흰둥아빠,GPA.3351-4754-5891-51226,,ruby_3,Google,0,11000,성공,일반,0,KRW,11000,,,
2025-06-30 8:22,e9823330-5589-11f0-86c3-5f09e4a94f1c,Kiz,GPA.3359-0867-0707-98018,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 6:42,266818a0-557b-11f0-86c4-0d11f7b7a2cb,울다미,GPA.3347-6221-3812-37736,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 0:17,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3323-7702-6475-93135,,ruby_6,Google,0,110000,성공,일반,645700,KRW,110000,,,
