순위,UUID,닉네임,점수,
84,5b35f9b0-62fc-11f0-a53e-f720860fcc8a,103,293,
86,170f5c50-63d2-11f0-bb86-97bdb11e4eed,난세표류대장,291,
87,2fb3d4f0-626c-11f0-9eb5-cf396344702c,찐아,290,
88,d11438a0-638c-11f0-9b51-d36a85c863a7,옴스옴스,289,
88,ba689b60-6395-11f0-a4da-3d0ef443f21c,듀펠,289,
88,0577a390-6322-11f0-9d30-a1884d59ed55,바카,289,
91,37fb0cb0-622f-11f0-bc70-397db01e6720,또봇엑스,287,
92,ff2c8890-631f-11f0-b4da-37de076ab8f7,방랑검객,286,
92,f45aa210-647f-11f0-b6a4-e93233942baf,김훅,286,
92,d9dc7990-64f7-11f0-846f-13edae8f7606,환상의섬,286,
92,cc82bad0-6456-11f0-8944-5327091948db,악에서구하소서,286,
92,c8b05770-6224-11f0-9ed2-2327c5a1ff14,이로로,286,
92,58d5c9b0-6398-11f0-9e16-f1cd993522e6,심대표,286,
92,4e198e60-6395-11f0-a4da-3d0ef443f21c,고먐미,286,
92,4951c240-64f7-11f0-920f-d9bd8a2a820c,한니야,286,
92,4530e240-622c-11f0-bbfd-8564365ef7ff,연우파파,286,
92,0577f1c0-64cf-11f0-920f-d9bd8a2a820c,미섬,286,
102,db7eabf0-6246-11f0-9ca6-b18ea4730904,디오,285,
102,db5109e0-6212-11f0-abc2-914425398299,아주,285,
102,60c7def0-638f-11f0-9e16-f1cd993522e6,브이아이피,285,
105,ed329a50-6269-11f0-bcbb-714564b525f4,아랑의혼,284,
106,d9237510-62ce-11f0-b252-a1a047cc5cf1,2쁜2,282,
107,ae7777f0-6231-11f0-b293-3b55fd722626,호미걸이,281,
108,cccbbf00-6217-11f0-9813-b7579b20c221,모름,279,
108,1b679820-62fc-11f0-aafb-6f8fc69735d7,하모예,279,
110,f8faa4e0-62af-11f0-9f5f-eba69ae2db8d,코토리,278,
110,de1bc6b0-6604-11f0-b420-973bd54af871,베노미,278,
112,a091b790-664b-11f0-8bf6-afeec62e00c0,몽달이,277,
113,f6059820-646d-11f0-9929-49fcfc223a08,비스트롱,276,
113,590dae80-63d8-11f0-b0c8-0be5c747fc57,무거운,276,
113,34e88230-6574-11f0-94e1-9148d7950b64,김견,276,
116,412a77f0-651b-11f0-846f-13edae8f7606,짭서스,275,
116,2b2c06d0-6304-11f0-af00-9b7f567d02d1,불태워버려,275,
118,761697b1-623b-11f0-9b9e-13c7a7dd6c88,씨표류기,274,
118,49b76e30-6310-11f0-b218-43a24c54b5c1,차니에용,274,
118,0db07190-6494-11f0-a086-85e9f4d94fe9,사계절,274,
121,f83fe2f0-6308-11f0-a53e-f720860fcc8a,윤관,272,
121,f1f11a50-6249-11f0-a7b6-cf18c18dd85f,채넌,272,
121,bef40530-63bc-11f0-8d07-390a61232108,삼다수,272,
