Event Action,Event Label,ItemPurchased (App),Event 값 (App),cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0)_account_Product_6__0,250~300,57,6270,275,,,,(1)_account_Product_2__0,,2200,,1100,,1100,,,,,2200,,1100,,3300,3300,5500,4400,8800,4400,1100,1100,1100,,1100,,2200,,1100,,,,,,1100,,,1100,,,47300,47300,0%
(0)_account_Product_3__0,250~300,56,6160,275,,,,(1)_account_Product_2__1,,,,,,,,,,,,,,,,3300,3300,9900,3300,,3300,,3300,,3300,,3300,,3300,,,,,,,,,6600,,,42900,42900,0%
Sudden_Product_Hero1__1,150~200,56,30800,175,,,,(1)_account_Product_2__2,,,,,,,,,,,,,,,,,5500,5500,,,,,,,5500,,5500,,5500,,,,,,,,,5500,,,33000,33000,0%
Pass_Product_0__0,250~300,55,30250,275,,,,(1)_account_Product_3__0,,,,,,,,,,,,,,,,2200,5500,3300,13200,7700,23100,12100,6600,6600,2200,2200,6600,5500,3300,2200,1100,2200,2200,,,1100,,,,,108900,108900,1%
Sudden_Product_Stage__1,150~200,54,178200,175,,,,(1)_account_Product_3__1,,,,,,,,,,,,,,,,,3300,6600,9900,6600,33000,23100,9900,9900,6600,3300,16500,6600,6600,,6600,,,,,,,,,,148500,148500,0.76%
Preminum_Product__1,30~40,53,40810,35,,,,(1)_account_Product_3__2,,,,,,,,,,,,,,,,,5500,,11000,,22000,22000,5500,11000,5500,,22000,5500,11000,,5500,,,,,,,,,,126500,126500,0.65%
(0)_account_Product_6__0,350~400,52,5720,375,,,,(1)_account_Product_4__0,,,,,,1100,,1100,,,,,,,5500,5500,1100,1100,4400,15400,7700,5500,,,1100,1100,3300,1100,1100,1100,,,,,,,,,,,57200,57200,0.29%
(0)_account_Product_7__0,400~450,52,5720,425,,,,(1)_account_Product_4__1,,,,,,,,,,,,,,,,6600,,3300,3300,16500,13200,3300,,,3300,3300,,6600,3300,3300,,,,,,,,,,,66000,66000,0.34%
Preminum_Product__1,40~50,51,38500,45,,,,(1)_account_Product_4__2,,,,,,,,,,,,,,,,,,,,11000,11000,5500,,,5500,,,5500,11000,5500,,,,,,,,,,,55000,55000,0.28%
account_Product_draw_3__0,200~250,49,5390,225,,,,(1)_account_Product_5__0,,,,,,,,,,,,,,,,1100,,2200,1100,,,,,,,,,,,,,,,,,,,,,,4400,4400,0.02%
Sudden_Product_Weapon__0,90~100,49,16170,95,,,,(1)_account_Product_6__0,,,,,,,,1100,,,,,,,1650,550,1100,2200,2750,4400,7700,2750,1650,1100,550,550,2200,,1650,,,,,,,,,550,,,32450,32450,0.17%
Sudden_Product_Growth2__2,150~200,48,52800,175,,,,(1)_account_Product_6__1,,,,,,,,1100,,,,,,,,,1100,2200,1100,4400,6600,,1100,,1100,,3300,1100,3300,,,,,,,,,1100,,,27500,27500,0.14%
(0)_account_Product_3__0,300~350,47,5170,325,,,,(1)_account_Product_7__0,,,1100,,2200,2200,,,,,1100,,,,2200,2200,4400,4400,3300,4400,5500,3300,2200,,,1100,3300,3300,5500,1100,3300,1100,,,,1100,,,1100,,59400,59400,0.30%
Sudden_Product_Bead1__0,450~500,47,25850,475,,,,(1)_account_Product_7__1,,,,,,,,,,,,,,,,,3300,3300,6600,,3300,,3300,,,6600,6600,13200,13200,3300,13200,3300,,,,3300,,,3300,,85800,85800,0.44%
account_Product_draw_4__0,300~350,46,5060,325,,,,(1)_account_Product_7__2,,,,,,,,,,,,,,,,,,,5500,,5500,,,,,11000,11000,22000,16500,11000,22000,5500,,,,5500,,,5500,,121000,121000,0.62%
account_Product_draw_4__1,250~300,46,25300,275,,,,(1)_account_Product_7__3,,,,,,,,,,,,,,,,,,,,,,,,,,11000,11000,22000,33000,22000,33000,22000,,,,11000,,,11000,,176000,176000,0.90%
Sudden_Product_Growth2__0,30~40,46,15180,35,,,,(1)_account_Product_8__0,,,,,,,,,,,,,,,,,,,,,,14300,7700,2200,2200,2200,2200,1100,2200,,,,2200,,,1100,,,1100,,38500,38500,0.20%
account_Product_draw_3__1,250~300,45,24750,275,,,,(1)_account_Product_8__1,,,,,,,,,,,,,,,,,,,,,,16500,19800,6600,3300,6600,3300,,6600,,,,3300,,,3300,,,3300,,72600,72600,0.37%
Minigame_Product_draw_0__550,300~350,45,24750,325,,,,(1)_account_Product_9__0,,,,,,,,,,,,,,,,,,,,,,,,,8800,6600,3300,1100,3300,1100,,,,,1100,1100,,,,,26400,26400,0.14%
Preminum_Product__1,50~60,45,34650,55,,,,(1)_account_Product_9__1,,,,,,,,,,,,,,,,,,,,,,,,,19800,6600,9900,3300,6600,,,,,,,,,,,,46200,46200,0.24%
Sudden_Product_Hero1__0,90~100,45,14850,95,,,,account_Product_draw_0__1,550,1870,880,1320,2530,1210,2090,2530,550,1980,550,550,1100,,2090,4070,6600,2860,2750,880,550,,110,,,110,,,,,110,,,,110,110,,,110,,38170,38170,0.20%
(0)_account_Product_2__0,250~300,44,4840,275,,,,account_Product_draw_0__2,1100,4400,1100,2200,4950,3300,2750,4400,550,2750,1650,550,1650,,2750,8250,8250,8800,12100,4400,3850,,1100,,,,,,550,,1100,550,,,550,550,,,,,84150,84150,0.43%
Sudden_Product_Growth1__1,200~250,44,24200,225,,,,account_Product_draw_0__3,1100,1100,2200,1100,3300,2200,2200,3300,3300,4400,1100,2200,,,4400,3300,16500,11000,18700,9900,7700,1100,3300,1100,,,,,,,1100,,1100,,1100,1100,,,,,108900,108900,0.56%
account_Product_draw_1__1,250~300,43,4730,275,,,,account_Product_draw_0__4,,3300,,3300,3300,6600,,3300,,9900,,,3300,,9900,3300,9900,16500,29700,39600,13200,3300,13200,,,,,,,,6600,,3300,,3300,3300,,,,,188100,188100,0.96%
Minigame_Product_draw_4__3300,300~350,43,141900,325,,,,account_Product_draw_0__5,,5500,,,,,,,,5500,5500,,,,,,11000,16500,11000,27500,44000,5500,16500,,,,,5500,,,11000,,,,16500,5500,,,,,187000,187000,0.96%
Preminum_Product__2,200~250,43,85140,225,,,,account_Product_draw_1__1,550,1870,440,660,1320,330,1320,1540,330,1430,660,660,990,,1540,3410,4730,2420,1760,550,660,,220,,,110,,,,,,,,,110,110,,,110,,27830,27830,0.14%
Sudden_Product_Growth2__0,40~50,43,14190,45,,,,account_Product_draw_1__2,550,1650,,550,1650,1100,550,1650,,1650,550,550,1100,,3850,3300,5500,6600,5500,3300,2750,,1100,,550,,,,550,,,,,,550,550,,,,,45650,45650,0.23%
Sudden_Product_Hero1__2,200~250,43,47300,225,,,,account_Product_draw_1__3,1100,1100,,1100,,,,1100,,2200,,1100,,,3300,1100,9900,4400,7700,4400,6600,1100,2200,,1100,,,,,,,,,,1100,1100,,,,,51700,51700,0.26%
Minigame_Product_draw_0__550,250~300,42,23100,275,,,,account_Product_draw_1__4,,3300,,,,,,,,6600,,,,,3300,3300,3300,,9900,3300,9900,,3300,3300,3300,,,3300,,,,,,,3300,3300,,,,,62700,62700,0.32%
Sudden_Product_Research__2,250~300,42,46200,275,,,,account_Product_draw_1__5,,,5500,,,,,,,,,,,,,,5500,,,,33000,,5500,5500,5500,,,11000,,,,,,,5500,5500,,,,,82500,82500,0.42%
Sudden_Product_Stage__0,100~110,42,46200,105,,,,account_Product_draw_3__0,550,1320,440,880,1650,330,1650,2420,660,2640,1100,770,1320,,3960,5390,8690,4180,4070,440,220,110,,,,,,110,,110,,,,,,110,,,,110,43230,43230,0.22%
Sudden_Product_Stage__2,200~250,42,231000,225,,,,account_Product_draw_3__1,550,,,1100,2750,550,1100,2200,,4950,1650,1650,,,9350,6050,24750,21450,17600,4950,,550,1650,,,,,550,,,,,,,,550,,,,,103950,103950,0.53%
account_Product_draw_4__0,200~250,41,4510,225,,,,account_Product_draw_3__2,1100,,,1100,,,1100,,,2200,,1100,2200,1100,8800,9900,29700,20900,33000,8800,4400,4400,3300,,,,,1100,,,,,,,,1100,,,,,135300,135300,0.69%
Preminum_Product__2,20~30,41,81180,25,,,,account_Product_draw_3__3,,,,,,,,,,,,3300,,,3300,9900,72600,23100,56100,19800,19800,9900,9900,3300,,,,6600,,,,,3300,,,3300,,,,,244200,244200,1.25%
(0)_account_Product_6__0,300~350,40,4400,325,,,,account_Product_draw_3__4,,,,,,,,,,,,,5500,,,,55000,16500,22000,22000,27500,16500,16500,5500,,,,5500,,,,,,5500,,5500,,,,,203500,203500,1.04%
account_Product_draw_4__0,150~200,40,4400,175,,,,account_Product_draw_4__0,550,1320,550,880,1540,440,1430,1870,330,2420,2970,1650,2640,,4400,4510,6930,5060,2970,880,220,,,110,,,,110,,,,,110,110,110,,,,,110,44220,44220,0.23%
