Event Category,,Product ID,Product Price,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),,Pass_Product_1__1,770,37,꿍도사,428,376991,3300,1,GooglePlay,2025-07-26,396000,333
ItemPurchased (App),,Pass_Product_1__0,550,37,꿍도사,428,276991,4070,1,GooglePlay,2025-07-26,396000,333
ItemPurchased (App),,Pass_Product_0__1,770,37,꿍도사,428,206991,4620,1,GooglePlay,2025-07-26,396000,333
ItemPurchased (App),,Pass_Product_0__0,550,37,꿍도사,428,106991,5390,1,GooglePlay,2025-07-26,396000,333
ItemPurchased (App),,(0)_account_Product_6__0,110,22,현세표루기,287,108957,110,1,GooglePlay,2025-08-10,80300,2542
ItemPurchased (App),,Sudden_Product_Bead1__2,2200,33,l대마왕l,476,32731,880,1,GooglePlay,2025-07-30,751300,153
ItemPurchased (App),,account_Product_draw_5__0,110,4,HYUCK,226,37080,0,0,GooglePlay,2025-07-15,207900,2995
ItemPurchased (App),,(0)_account_Product_2__0,110,43,태굥,451,6667,110,1,GooglePlay,2025-07-19,203500,183
ItemPurchased (App),,Sudden_Product_Boost__2,1100,33,l대마왕l,474,211231,3080,1,GooglePlay,2025-07-30,751300,152
ItemPurchased (App),,Sudden_Product_Bead1__1,1100,33,l대마왕l,474,170731,4180,1,GooglePlay,2025-07-30,751300,152
ItemPurchased (App),,(0)_account_Product_3__2,1100,33,l대마왕l,474,150731,5280,1,GooglePlay,2025-07-30,751300,152
ItemPurchased (App),,(0)_account_Product_3__1,550,33,l대마왕l,474,132731,6380,1,GooglePlay,2025-07-30,751300,152
ItemPurchased (App),,(0)_account_Product_3__0,110,33,l대마왕l,474,122731,6930,1,GooglePlay,2025-07-30,751300,152
ItemPurchased (App),,Sudden_Product_Growth1__1,550,4,HYUCK,225,26280,110,0,GooglePlay,2025-07-15,207900,2995
ItemPurchased (App),,account_Product_draw_4__0,110,1,박씨아저씨,74,31946,0,1,GooglePlay,2025-08-30,14300,10335
ItemPurchased (App),,account_Product_draw_1__1,110,1,박씨아저씨,74,27946,110,1,GooglePlay,2025-08-30,14300,10335
ItemPurchased (App),,account_Product_draw_0__1,110,1,박씨아저씨,74,23946,220,1,GooglePlay,2025-08-30,14300,10335
ItemPurchased (App),,(0)_account_Product_4__0,110,1,박씨아저씨,74,19946,330,1,GooglePlay,2025-08-30,14300,10335
ItemPurchased (App),,(0)_account_Product_2__0,110,1,박씨아저씨,74,17946,440,1,GooglePlay,2025-08-30,14300,10335
ItemPurchased (App),,(0)_account_Product_1__0,110,1,박씨아저씨,74,14946,550,1,GooglePlay,2025-08-30,14300,10335
ItemPurchased (App),,Preminum_Product__1,770,27,야채오향통닭,218,96465,330,1,GooglePlay,2025-08-04,11000,4540
ItemPurchased (App),,account_Product_draw_0__1,110,43,태굥,450,9128,220,1,GooglePlay,2025-07-19,203500,183
ItemPurchased (App),,account_Product_draw_4__0,110,43,태굥,450,5128,330,1,GooglePlay,2025-07-19,203500,183
ItemPurchased (App),,Sudden_Product_Stage__5,3300,27,노조원,354,504107,0,1,GooglePlay,2025-08-05,58300,1399
ItemPurchased (App),,account_Product_draw_0__1,110,22,김난신,489,6022,330,1,GooglePlay,2025-08-09,504900,128
ItemPurchased (App),,account_Product_draw_0__2,550,45,하성,376,21219,110,1,GooglePlay,2025-07-17,40700,933
ItemPurchased (App),,(0)_account_Product_2__0,110,19,대무원,251,16415,0,1,GooglePlay,2025-07-27,15400,3545
ItemPurchased (App),,(0)_account_Product_1__0,110,19,대무원,251,13415,110,1,GooglePlay,2025-07-27,15400,3545
ItemPurchased (App),,Sudden_Product_Growth1__0,550,4,아이디모할깡,111,545886,110,1,GooglePlay,2025-08-28,24200,8044
ItemPurchased (App),,Sudden_Product_Weapon__0,330,4,아이디모할깡,111,521886,0,1,GooglePlay,2025-08-28,17600,8044
ItemPurchased (App),,Sudden_Product_Stage__1,3300,6,소쩍새,180,530191,0,1,GooglePlay,2025-08-26,91300,5454
ItemPurchased (App),,Sudden_Product_Hero1__0,330,4,아이디모할깡,94,479386,330,1,GooglePlay,2025-08-28,17600,8044
ItemPurchased (App),,account_Product_Hero_4__3,3300,6,지마,293,135113,770,1,GooglePlay,2025-08-26,460900,2373
ItemPurchased (App),,account_Product_Hero_4__2,1100,6,지마,293,135113,4070,1,GooglePlay,2025-08-26,460900,2373
ItemPurchased (App),,account_Product_Hero_4__1,550,6,지마,293,135113,5170,1,GooglePlay,2025-08-26,460900,2373
ItemPurchased (App),,Sudden_Product_Research__0,330,3,마살수,236,1518,0,1,GooglePlay,2025-08-29,118800,4117
ItemPurchased (App),,Sudden_Product_Research__7,5500,41,로봇,525,28959,220,1,GooglePlay,2025-07-18,590700,90
ItemPurchased (App),,Sudden_Product_Stage__3,550,6,지마,292,132538,220,1,GooglePlay,2025-08-26,405900,2371
ItemPurchased (App),,account_Product_draw_4__1,550,3,유비연,192,144692,660,1,GooglePlay,2025-08-29,51700,5010
ItemPurchased (App),,Sudden_Product_Growth2__3,3300,4,HYUCK,211,177395,660,0,GooglePlay,2025-07-15,207900,3125
ItemPurchased (App),,Sudden_Product_Hero1__1,550,3,마살수,234,25418,110,1,GooglePlay,2025-08-29,116600,4117
ItemPurchased (App),,account_Product_draw_3__4,5500,17,먼지아빠,389,263523,0,1,GooglePlay,2025-08-15,473000,661
ItemPurchased (App),,Pass_Product_3__2,1100,29,선장,442,560662,0,1,GooglePlay,2025-08-03,649000,247
ItemPurchased (App),,Pass_Product_2__2,1100,29,선장,442,420662,0,1,GooglePlay,2025-08-03,638000,247
ItemPurchased (App),,Pass_Product_1__2,1100,29,선장,442,280662,1100,1,GooglePlay,2025-08-03,638000,247
ItemPurchased (App),,Pass_Product_0__2,1100,29,선장,442,140662,2200,1,GooglePlay,2025-08-03,638000,247
ItemPurchased (App),,(0)_account_Product_7__0,110,45,KIRA,1109,224169,3890,1,GooglePlay,2025-07-18,11007700,1
ItemPurchased (App),,(0)_account_Product_6__0,110,45,KIRA,1109,223669,4000,1,GooglePlay,2025-07-18,11007700,1
ItemPurchased (App),,Preminum_Product__2,1980,30,우용,286,296209,1320,1,GooglePlay,2025-07-19,40700,2667
ItemPurchased (App),,Sudden_Product_Weapon__1,550,13,짱꾸,276,44803,5170,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,(1)_account_Product_4__0,1100,5,혜디,187,182138,0,1,GooglePlay,2025-08-27,56100,5455
ItemPurchased (App),,Pass_Product_3__1,770,13,짱꾸,276,677328,5720,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Pass_Product_2__1,770,13,짱꾸,276,577328,6490,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Pass_Product_1__1,770,13,짱꾸,276,477328,7260,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Pass_Product_0__1,770,13,짱꾸,276,377328,8030,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Sudden_Product_Weapon__1,550,2,방과,115,238653,0,1,GooglePlay,2025-08-30,50600,7306
ItemPurchased (App),,Pass_Product_3__0,550,13,짱꾸,276,289328,8800,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Pass_Product_2__0,550,13,짱꾸,276,219328,9350,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Pass_Product_1__0,550,13,짱꾸,276,149328,9900,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Pass_Product_0__0,550,13,짱꾸,276,79228,10450,1,GooglePlay,2025-08-19,168300,2789
ItemPurchased (App),,Sudden_Product_Stage__0,1100,2,방과,115,318453,440,1,GooglePlay,2025-08-30,49500,7306
ItemPurchased (App),,Pass_Product_1__0,550,3,김메뚝,120,282890,0,1,GooglePlay,2025-08-29,34100,7304
ItemPurchased (App),,account_Product_draw_3__0,110,9,trdfy,229,18557,0,1,GooglePlay,2025-08-22,45100,4258
ItemPurchased (App),,account_Product_draw_5__0,110,9,trdfy,229,14557,110,1,GooglePlay,2025-08-22,45100,4258
ItemPurchased (App),,Pass_Product_0__1,770,3,김메뚝,120,212890,440,1,GooglePlay,2025-08-29,33000,7304
ItemPurchased (App),,Pass_Product_0__0,550,3,김메뚝,120,112890,1210,1,GooglePlay,2025-08-29,33000,7304
ItemPurchased (App),,Sudden_Product_Stage__9,3300,34,일해라정차장,551,509331,150,1,GooglePlay,2025-07-29,886600,53
ItemPurchased (App),,account_Product_Hero_6__1,550,9,trdfy,229,3332,220,1,GooglePlay,2025-08-22,45100,4340
ItemPurchased (App),,account_Product_Hero_0__1,550,9,trdfy,229,3332,770,1,GooglePlay,2025-08-22,45100,4340
ItemPurchased (App),,account_Product_Hero_6__0,330,9,trdfy,229,3332,1320,1,GooglePlay,2025-08-22,45100,4340
ItemPurchased (App),,account_Product_Hero_0__0,330,9,trdfy,229,3332,1650,1,GooglePlay,2025-08-22,45100,4340
ItemPurchased (App),,Pass_Product_0__1,770,9,trdfy,227,172607,1980,1,GooglePlay,2025-08-22,45100,4340
ItemPurchased (App),,Pass_Product_0__0,550,9,trdfy,227,72607,2750,1,GooglePlay,2025-08-22,45100,4340
ItemPurchased (App),,Preminum_Product__2,1980,3,정세바리,115,76300,770,1,GooglePlay,2025-08-29,40700,7345
ItemPurchased (App),,Sudden_Product_Hero1__2,1100,20,goonin,325,47893,1980,1,GooglePlay,2025-08-12,150700,1948
ItemPurchased (App),,Pass_Product_0__2,1100,20,goonin,325,256893,3080,1,GooglePlay,2025-08-12,150700,1948
ItemPurchased (App),,Pass_Product_0__1,770,20,goonin,325,172893,4180,1,GooglePlay,2025-08-12,150700,1948
ItemPurchased (App),,Pass_Product_1__0,550,20,goonin,325,72893,4950,1,GooglePlay,2025-08-12,150700,1948
ItemPurchased (App),,Sudden_Product_Growth2__2,1100,4,HYUCK,206,201148,660,0,GooglePlay,2025-07-15,174900,3194
ItemPurchased (App),,Sudden_Product_Hero2__2,1100,6,지마,289,250869,110,1,GooglePlay,2025-08-26,399300,2581
ItemPurchased (App),,account_Product_Hero_1__3,3300,6,지마,289,205869,1210,1,GooglePlay,2025-08-26,399300,2581
ItemPurchased (App),,account_Product_Hero_1__2,1100,6,지마,289,205869,4510,1,GooglePlay,2025-08-26,399300,2581
ItemPurchased (App),,account_Product_Hero_6__4,5500,6,지마,286,138869,110,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,account_Product_Hero_9__0,330,6,지마,286,138869,5610,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,account_Product_Hero_5__0,330,6,지마,286,138869,5940,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,account_Product_Hero_4__0,330,6,지마,286,138869,6270,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,account_Product_Hero_3__0,330,6,지마,286,138869,6600,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,account_Product_Hero_2__0,330,6,지마,286,138869,6930,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,account_Product_Hero_1__1,550,6,지마,286,138869,7260,1,GooglePlay,2025-08-26,344300,2581
ItemPurchased (App),,Sudden_Product_Growth2__1,550,2,방과,111,213448,550,1,GooglePlay,2025-08-30,39600,8037
ItemPurchased (App),,account_Product_draw_5__0,110,8,모태롯데,227,46851,0,1,GooglePlay,2025-08-24,36300,4584
ItemPurchased (App),,Sudden_Product_Hero2__1,550,4,HYUCK,195,54848,1760,0,GooglePlay,2025-07-15,174900,3275
ItemPurchased (App),,Sudden_Product_Weapon__0,330,2,클린비비,68,32841,0,1,GooglePlay,2025-08-30,11000,11045
ItemPurchased (App),,(0)_account_Product_6__0,110,2,방과,94,122223,0,1,GooglePlay,2025-08-30,28600,8037
ItemPurchased (App),,(0)_account_Product_4__0,110,2,방과,94,122223,110,1,GooglePlay,2025-08-30,28600,8037
