Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_3,11000,1,은도끼,106,219594,0,1,GooglePlay,2025-08-28,55000,7474
Order Complete (App),,ruby_2,6600,26,요거트슈,381,2307,0,1,GooglePlay,2025-08-03,71500,751
Order Complete (App),,ruby_2,6600,21,매혹,298,884,110,1,GooglePlay,2025-08-08,60500,2175
Order Complete (App),,ruby_2,6600,17,고슬,425,1248,1210,1,OneStore,2025-08-12,424600,328
Order Complete (App),,ruby_2,6600,21,매혹,296,784,110,1,GooglePlay,2025-08-08,53900,2175
Order Complete (App),,ads_remove,7700,1,모잇,6,25456,0,1,GooglePlay,2025-08-28,0,99999999
Order Complete (App),,ruby_5,55000,43,하모예,512,26085,0,1,GooglePlay,2025-07-17,463100,89
Order Complete (App),,ruby_3,11000,22,새내기,342,50582,110,1,GooglePlay,2025-08-03,99000,1531
Order Complete (App),,ruby_6,110000,33,창사마,510,204463,1100,1,GooglePlay,2025-07-27,1503700,92
Order Complete (App),,ruby_2,6600,3,트리콜로,94,76572,220,1,GooglePlay,2025-08-26,18700,8784
Order Complete (App),,ruby_6,110000,33,창사마,510,4463,22550,1,GooglePlay,2025-07-27,1503700,92
Order Complete (App),,ruby_6,110000,33,창사마,510,4463,550,1,GooglePlay,2025-07-27,1283700,92
Order Complete (App),,ruby_1,1100,41,뉴진스해린,425,9355,330,1,GooglePlay,2025-07-18,14300,327
Order Complete (App),,ruby_1,1100,41,뉴진스해린,425,9355,220,1,GooglePlay,2025-07-18,13200,327
Order Complete (App),,ruby_1,1100,41,뉴진스해린,425,9355,0,1,GooglePlay,2025-07-18,11000,327
Order Complete (App),,ruby_6,110000,1,샮얅,119,4875,550,1,GooglePlay,2025-08-28,117700,6748
Order Complete (App),,ruby_4,33000,5,딘데,132,397,330,1,GooglePlay,2025-08-23,18700,6378
Order Complete (App),,ruby_1,1100,1,은도끼,93,177157,440,1,GooglePlay,2025-08-28,53900,8116
Order Complete (App),,ruby_3,11000,43,은월랑,577,3207,220,1,GooglePlay,2025-07-17,1570800,33
Order Complete (App),,ruby_2,6600,1,은도끼,92,89257,1870,1,GooglePlay,2025-08-28,53900,8116
Order Complete (App),,ruby_3,11000,1,은도끼,92,89257,110,1,GooglePlay,2025-08-28,36300,8116
Order Complete (App),,ruby_3,11000,1,은도끼,92,23757,0,1,GooglePlay,2025-08-28,25300,8116
Order Complete (App),,ruby_3,11000,1,은도끼,92,8257,0,1,GooglePlay,2025-08-28,14300,8116
Order Complete (App),,ruby_4,33000,33,창사마,493,3054,550,1,GooglePlay,2025-07-27,1250700,116
Order Complete (App),,ruby_3,11000,33,창사마,493,2604,1650,1,GooglePlay,2025-07-27,1239700,116
Order Complete (App),,ruby_1,1100,1,셀프유쌤,36,54188,220,1,GooglePlay,2025-08-28,29700,18513
