"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-03-15 20:44:07"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":562223,""b.ruby"":1870,""boxAllCount"":4080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":216700,""user_rank"":4925}","돌발_갑옷2__0__550",550
"ItemPurchased (App)","{""Time"":""2026-03-15 20:43:13"",""UserUUID"":""4df86fe0-1ee4-11f1-8f9f-7f7b373d0b94"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""2명"",""a_user_stage"":62,""b.diamond"":492766,""b.ruby"":330,""boxAllCount"":1860,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":29700,""user_rank"":12179}","돌발_육성2__0__990",990
"ItemPurchased (App)","{""Time"":""2026-03-15 20:41:34"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":24723,""b.ruby"":2420,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":216700,""user_rank"":4925}","돌발_고려2__6__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 20:41:32"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":309,""b.diamond"":6669232,""b.ruby"":440,""boxAllCount"":9290,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":622600,""user_rank"":4310}","돌발_사형수__1__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 20:39:15"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":475723,""b.ruby"":220,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":161700,""user_rank"":4925}","레벨 패스__1__770",770
"ItemPurchased (App)","{""Time"":""2026-03-15 20:39:09"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":343223,""b.ruby"":990,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":161700,""user_rank"":4925}","스테이지 패스__1__770",770
"ItemPurchased (App)","{""Time"":""2026-03-15 20:39:00"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":210723,""b.ruby"":1760,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":161700,""user_rank"":4925}","육성 패스__2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 20:37:52"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":309,""b.diamond"":6651957,""b.ruby"":440,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":611600,""user_rank"":4394}","돌발_사형수__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 20:33:48"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":5498,""b.ruby"":2860,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":161700,""user_rank"":4925}","돌발_조선2__3__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 20:27:53"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":307,""b.diamond"":6640382,""b.ruby"":440,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":600600,""user_rank"":4394}","돌발_던전3__3__990",990
"ItemPurchased (App)","{""Time"":""2026-03-15 20:18:42"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":300,""b.diamond"":6530707,""b.ruby"":330,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":589600,""user_rank"":4394}","돌발_승급__4__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 20:18:39"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":300,""b.diamond"":6520707,""b.ruby"":3630,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":589600,""user_rank"":4394}","돌발_스테이지__4__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 19:31:20"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":59,""b.diamond"":796840,""b.ruby"":2860,""boxAllCount"":1230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":62700,""user_rank"":12802}","육성 패스__0__550",550
