"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-03-30 23:52:28"",""UserUUID"":""47a32490-2c3c-11f1-89aa-bf6b1b09bcec"",""a_attendance_count"":1,""a_user_name"":""이팔이"",""a_user_stage"":43,""b.diamond"":374048,""b.ruby"":0,""boxAllCount"":330,""curserver"":1,""iap_platform"":""AppleStore"",""install_day"":""2026-03-30"",""total_payment_amount"":0,""user_rank"":17621}"
"Order Complete (App)","{""Time"":""2026-03-30 23:44:49"",""UserUUID"":""6629b550-2c19-11f1-a507-9f42c833e924"",""a_attendance_count"":1,""a_user_name"":""태승혜은"",""a_user_stage"":26,""b.diamond"":206677,""b.ruby"":0,""boxAllCount"":60,""curserver"":1,""iap_platform"":""AppleStore"",""install_day"":""2026-03-30"",""total_payment_amount"":0,""user_rank"":17487}"
"Order Complete (App)","{""Time"":""2026-03-30 23:38:03"",""UserUUID"":""c2264270-2c27-11f1-9ef4-e73dc3ac6f15"",""a_attendance_count"":1,""a_user_name"":""몽데"",""a_user_stage"":93,""b.diamond"":61207,""b.ruby"":1100,""boxAllCount"":1170,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-30"",""total_payment_amount"":18700,""user_rank"":9541}"
"Order Complete (App)","{""Time"":""2026-03-30 23:36:43"",""UserUUID"":""c2264270-2c27-11f1-9ef4-e73dc3ac6f15"",""a_attendance_count"":1,""a_user_name"":""몽데"",""a_user_stage"":93,""b.diamond"":56082,""b.ruby"":0,""boxAllCount"":1170,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-30"",""total_payment_amount"":7700,""user_rank"":9676}"
"Order Complete (App)","{""Time"":""2026-03-30 23:35:20"",""UserUUID"":""c55b58e0-70f2-11f0-bece-558106a981fc"",""a_attendance_count"":239,""a_user_name"":""BADA"",""a_user_stage"":1540,""b.diamond"":96027,""b.ruby"":16500,""boxAllCount"":37230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-04"",""total_payment_amount"":3251600,""user_rank"":21}"
"Order Complete (App)","{""Time"":""2026-03-30 23:34:55"",""UserUUID"":""c55b58e0-70f2-11f0-bece-558106a981fc"",""a_attendance_count"":239,""a_user_name"":""BADA"",""a_user_stage"":1540,""b.diamond"":96027,""b.ruby"":0,""boxAllCount"":37230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-04"",""total_payment_amount"":3086600,""user_rank"":21}"
"Order Complete (App)","{""Time"":""2026-03-30 23:33:56"",""UserUUID"":""07d5a7c0-145e-11f1-a1fb-efdcf7376ec7"",""a_attendance_count"":27,""a_user_name"":""유우성"",""a_user_stage"":312,""b.diamond"":9282,""b.ruby"":1760,""boxAllCount"":8350,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-28"",""total_payment_amount"":25300,""user_rank"":4567}"
"Order Complete (App)","{""Time"":""2026-03-30 23:33:16"",""UserUUID"":""07d5a7c0-145e-11f1-a1fb-efdcf7376ec7"",""a_attendance_count"":27,""a_user_name"":""유우성"",""a_user_stage"":312,""b.diamond"":9282,""b.ruby"":0,""boxAllCount"":8350,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-28"",""total_payment_amount"":7700,""user_rank"":4567}"
"Order Complete (App)","{""Time"":""2026-03-30 23:29:11"",""UserUUID"":""c55b58e0-70f2-11f0-bece-558106a981fc"",""a_attendance_count"":239,""a_user_name"":""BADA"",""a_user_stage"":1540,""b.diamond"":87527,""b.ruby"":0,""boxAllCount"":37230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-04"",""total_payment_amount"":3053600,""user_rank"":21}"
"Order Complete (App)","{""Time"":""2026-03-30 23:18:54"",""UserUUID"":""5d1fe1f0-2c37-11f1-a51a-235d0140682f"",""a_attendance_count"":1,""a_user_name"":""열음"",""a_user_stage"":53,""b.diamond"":1982,""b.ruby"":0,""boxAllCount"":1230,""curserver"":1,""iap_platform"":""AppleStore"",""install_day"":""2026-03-30"",""total_payment_amount"":0,""user_rank"":13947}"
"Order Complete (App)","{""Time"":""2026-03-30 23:18:59"",""UserUUID"":""c55b58e0-70f2-11f0-bece-558106a981fc"",""a_attendance_count"":239,""a_user_name"":""BADA"",""a_user_stage"":1540,""b.diamond"":757427,""b.ruby"":0,""boxAllCount"":37230,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-04"",""total_payment_amount"":3020600,""user_rank"":21}"
"Order Complete (App)","{""Time"":""2026-03-30 23:15:22"",""UserUUID"":""3fd22780-2c27-11f1-8f79-c511aec99fec"",""a_attendance_count"":1,""a_user_name"":""제독검보"",""a_user_stage"":47,""b.diamond"":308856,""b.ruby"":0,""boxAllCount"":1140,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-30"",""total_payment_amount"":0,""user_rank"":14947}"
"Order Complete (App)","{""Time"":""2026-03-30 23:12:20"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_attendance_count"":342,""a_user_name"":""우라이자강"",""a_user_stage"":10699,""b.diamond"":196219937,""b.ruby"":839970630,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":700700,""user_rank"":210}"
"Order Complete (App)","{""Time"":""2026-03-30 22:55:21"",""UserUUID"":""e5506d00-2c38-11f1-9c0e-e9d90199f557"",""a_attendance_count"":1,""a_user_name"":""션우"",""a_user_stage"":23,""b.diamond"":91501,""b.ruby"":0,""boxAllCount"":60,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-30"",""total_payment_amount"":0,""user_rank"":18481}"
"Order Complete (App)","{""Time"":""2026-03-30 22:50:48"",""UserUUID"":""fa67f460-2c3d-11f1-a74a-634da2780cba"",""a_attendance_count"":1,""a_user_name"":""E04"",""a_user_stage"":12,""b.diamond"":139000,""b.ruby"":0,""boxAllCount"":10,""curserver"":1,""iap_platform"":""AppleStore"",""install_day"":""2026-03-30"",""total_payment_amount"":0,""user_rank"":99999999}"
