"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-03-15 20:28:11"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":3498,""b.ruby"":660,""boxAllCount"":3630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":128700,""user_rank"":4925}"
"Order Complete (App)","{""Time"":""2026-03-15 20:27:37"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":307,""b.diamond"":6630382,""b.ruby"":330,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":589600,""user_rank"":4394}"
"Order Complete (App)","{""Time"":""2026-03-15 20:18:30"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":300,""b.diamond"":5920707,""b.ruby"":6930,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":589600,""user_rank"":4394}"
"Order Complete (App)","{""Time"":""2026-03-15 20:17:52"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":300,""b.diamond"":5920707,""b.ruby"":330,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":523600,""user_rank"":4394}"
"Order Complete (App)","{""Time"":""2026-03-15 20:11:12"",""UserUUID"":""6ab005f0-1fd2-11f1-ac8f-b9dc53070bee"",""a_attendance_count"":1,""a_user_name"":""광열"",""a_user_stage"":76,""b.diamond"":35015,""b.ruby"":0,""boxAllCount"":150,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-14"",""total_payment_amount"":0,""user_rank"":10591}"
"Order Complete (App)","{""Time"":""2026-03-15 19:36:32"",""UserUUID"":""62c4b4c0-205a-11f1-8b5a-cf343ec8e77d"",""a_attendance_count"":1,""a_user_name"":""핏불양이"",""a_user_stage"":5,""b.diamond"":10000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-03-15 19:21:04"",""UserUUID"":""da3bee00-204c-11f1-826b-99b9df366d9c"",""a_attendance_count"":1,""a_user_name"":""츠구밍"",""a_user_stage"":55,""b.diamond"":656815,""b.ruby"":0,""boxAllCount"":900,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":7700,""user_rank"":12802}"
"Order Complete (App)","{""Time"":""2026-03-15 18:56:32"",""UserUUID"":""97dd7640-1ddc-11f1-8ddc-8b91ee246d0c"",""a_attendance_count"":4,""a_user_name"":""정성화"",""a_user_stage"":139,""b.diamond"":186446,""b.ruby"":990,""boxAllCount"":1560,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":24200,""user_rank"":7758}"
"Order Complete (App)","{""Time"":""2026-03-15 18:56:19"",""UserUUID"":""97dd7640-1ddc-11f1-8ddc-8b91ee246d0c"",""a_attendance_count"":4,""a_user_name"":""정성화"",""a_user_stage"":139,""b.diamond"":186446,""b.ruby"":880,""boxAllCount"":1560,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":23100,""user_rank"":7758}"
"Order Complete (App)","{""Time"":""2026-03-15 18:55:38"",""UserUUID"":""97dd7640-1ddc-11f1-8ddc-8b91ee246d0c"",""a_attendance_count"":4,""a_user_name"":""정성화"",""a_user_stage"":139,""b.diamond"":186446,""b.ruby"":110,""boxAllCount"":1560,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-12"",""total_payment_amount"":15400,""user_rank"":7758}"
