순위,UUID,닉네임,점수,추가 항목
1,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,11054,5822100원|2025-11-14 07:17:07|12|24|24|24|24|20|11|8|7|8|7|0|0|12.566T|800|800|653|0a100|0a290.5|1540
2,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,11016,5839800원|2025-11-13 18:50:48|12|24|24|24|20|20|8|8|7|8|7|0|0|714.675S|800|800|540|0a100|0a205.4|1540
3,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,11001,4441500원|2025-11-14 00:56:33|12|24|24|24|24|20|12|7|6|7|6|0|0|244.238S|800|800|505|0a100|0a173.7|1540
4,6454cfe0-807a-11ef-aa01-9d9eae32e1da,메두사,10995,4847700원|2025-11-13 16:04:18|12|24|24|24|24|20|12|8|6|7|4|0|0|191.222S|800|800|365|0a52|0a106|1540
5,364023f0-7feb-11ef-907a-53cfb9749a97,3300원도아깝,10992,19451300원|2025-11-14 13:00:15|12|24|24|24|23|20|5|8|7|8|7|0|0|121.255S|800|800|450|0a100|0a146|1540
6,fa266380-807a-11ef-bd85-c334686e1c45,꿈쥐,10991,4737700원|2025-11-13 02:01:06|12|24|24|24|24|20|6|8|6|7|6|0|0|106.264S|800|800|449|0a100|0a220|1540
7,6347f790-89ed-11ef-9fd7-779fb3cc927f,다산,10964,5100700원|2025-11-11 00:59:58|12|24|24|24|24|20|11|7|5|8|5|0|0|96.355Q|650|650|422|0a36|0a122.1|1249
8,f543f970-8f90-11ef-94ed-cf6209089134,무과금의교과서,10956,11313400원|2025-11-12 09:30:19|12|24|24|24|24|20|5|8|5|7|5|0|0|39.822Q|800|800|450|0a73.4|0a119.7|1540
9,c4a47b30-7dae-11ef-9065-db7206b02bb0,별하,10889,21552500원|2025-11-14 05:43:41|12|24|23|24|23|20|0|7|7|7|7|0|0|43.026R|800|800|200|0a64.5|0a128.4|1540
10,c8263fa0-7d45-11ef-962b-ad2122108947,현타빌런흑천검,10866,15507500원|2025-10-02 01:51:29|11|24|18|24|18|20|3|9|8|8|8|0|0|8.965R|800|800|1a100|1a600|1540
11,b6b10e20-b2bb-11ef-8b0b-3f0a6e303454,간짜장,10761,2539700원|2025-11-13 11:55:15|11|24|24|23|0|20|5|8|8|5|3|0|0|11.426Q|650|400|316|0a100|0a120|1411
12,cdf88df0-7f04-11ef-8518-5fedfc5cfa32,레벨업,10723,2068500원|2025-11-13 20:44:08|11|24|22|24|17|20|1|7|4|7|3|0|0|297.052P|650|650|200|0a5.8|0a106|1364
13,2aa645b0-7e2e-11ef-a668-ef803883de71,그냥놀아,10716,704300원|2025-11-14 18:21:01|11|24|23|24|5|20|4|7|6|7|6|0|0|148.311P|650|650|271|0a3.7|0a102.8|1352
14,2318b310-80b2-11ef-bc75-d1cfe0c7ed4e,늪지,10714,623000원|2025-11-13 22:49:06|11|24|11|22|0|20|1|7|8|7|7|0|0|85.882P|650|600|250|0a60.3|0a115|1342
15,bbd1d9a0-8f81-11ef-841a-6dd0ed1a3d0e,뿡까,10709,443600원|2025-11-11 13:14:35|11|24|14|22|0|20|0|7|6|7|6|0|0|27.361P|610|800|200|0a80|0a117|1336
16,25d8ad60-7fb5-11ef-b2dd-7d95c0c44acb,칸나비스,10700,37500원|2025-11-14 00:09:10|11|24|10|22|0|20|0|8|5|7|3|0|0|45.194P|650|600|200|0a34|0a100.1|1327
16,1b55cf60-ae06-11ef-9499-678aa71606e9,6638,10700,107800원|2025-11-10 00:23:38|11|24|14|22|0|18|0|8|3|7|0|0|0|193.535N|600|800|200|0a59.6|0a103.6|1326
18,f04aa580-8069-11ef-836b-0f6dfa26285a,알키오,10690,7700원|2025-11-13 00:12:24|11|24|10|23|0|19|0|7|7|7|7|0|0|12.112P|665|800|200|0a55.7|0a100|1323
18,8aa0a270-7e3e-11ef-bd39-7ddaa3b45b16,희린,10690,629800원|2025-11-10 07:35:35|11|24|5|23|0|20|4|7|6|6|5|0|0|16.436P|800|800|0a26.9|0a101|1315
20,c31d0350-7e1b-11ef-85ab-85fce8c366cb,다륜,10687,122100원|2025-11-14 17:43:36|11|24|5|23|0|20|0|7|4|7|3|0|0|9.810P|800|800|200|0a33.2|0a100|1289
21,b9f7f9f0-8493-11ef-a2cd-7f6f509a4b68,파인트뤼,10685,4334200원|2025-10-12 09:15:11|11|24|5|24|1|20|0|8|6|7|6|0|0|10.620P|800|800|1a100|1a600|1306
22,ec2610d0-8063-11ef-baad-6992ac4cff27,미카엘,10683,17600원|2025-11-14 02:54:18|11|24|23|22|0|19|0|7|6|7|5|0|0|13.699P|650|800|200|0a46.6|0a127.1|1302
23,ef155d41-823f-11ef-be13-15abd021136a,산나,10677,193100원|2025-11-12 00:21:44|11|24|11|23|0|19|0|7|5|7|5|0|0|36.705N|800|800|200|0a73|0a105.7|1294
24,d1de8990-7d76-11ef-aa83-d3b507ee170f,막내시로,10672,410800원|2025-11-14 00:26:37|11|24|8|23|0|19|0|7|5|7|6|0|0|1.645P|800|800|200|0a50.5|0a108.9|1289
24,7c45cc50-7e2a-11ef-9066-215fa3c8bdc9,철표,10672,1409800원|2025-11-09 07:50:53|11|24|15|23|0|18|0|7|5|5|5|0|0|3.650P|800|800|200|1a100|1a600|1291
26,dce62360-7d45-11ef-96ad-3197f55f52cb,불사신,10671,574700원|2025-11-13 00:24:19|11|24|0|22|0|19|0|8|7|7|7|0|0|1.888P|755|800|200|0a63|0a100|1286
