순위,UUID,닉네임,점수,추가 항목
84,ba689b60-6395-11f0-a4da-3d0ef443f21c,듀펠,351,5
84,4ec6acf0-6406-11f0-877d-c952436514c7,빠따,351,5
84,2cdcee40-63cc-11f0-aab1-5f3bbe175c3e,강산,351,5
88,6ec084c0-638b-11f0-ab7a-bbc4f478c2db,이순신장군멍군,349,5
89,af3bb3b0-6752-11f0-a3b5-cb7d513a283d,여름이니까,347,5
89,a3586780-6470-11f0-b9a2-71a70b35ee88,데몬,347,5
89,8ae10fb0-64e1-11f0-8ef3-8dde64b39158,나리나리,347,5
89,412a77f0-651b-11f0-846f-13edae8f7606,짭서스,347,5
89,2fb3d4f0-626c-11f0-9eb5-cf396344702c,찐아,347,5
89,1b679820-62fc-11f0-aafb-6f8fc69735d7,하모예,347,5
89,0577a390-6322-11f0-9d30-a1884d59ed55,바카,347,5
96,b80cbc70-6255-11f0-8bea-3317711f0fe4,수진,346,5
96,905a18e0-663c-11f0-8b63-2511bd743353,콩쥐,346,5
98,b183bf40-642e-11f0-9a44-37c9035ed3bc,혐오,345,5
98,5b938da0-6239-11f0-b2ed-bb90d5f20a4a,신정보,345,5
98,4eebfbe0-648d-11f0-9e55-714c36f08739,아이누이,345,5
98,37fb0cb0-622f-11f0-bc70-397db01e6720,또봇엑스,345,5
102,ddd58a70-654a-11f0-8eaa-bf6dbefdd461,맹덕,343,5
102,57f36640-6417-11f0-83ae-cb0d7c1d5c99,찐뽀,343,5
104,ff2c8890-631f-11f0-b4da-37de076ab8f7,방랑검객,341,5
105,a3f6f620-6a7e-11f0-aa6e-41c5597ab061,오랑케,340,5
106,db5109e0-6212-11f0-abc2-914425398299,아주,338,5
106,1d38b190-6881-11f0-a8b1-91e4ae461372,시몬,338,5
108,ceadd680-6309-11f0-b974-4ba43f735b03,윈져,337,5
108,977d8e10-66e4-11f0-abbe-1b148ce1c918,두율대디,337,5
110,c7112400-6461-11f0-a72c-e970bf999ff4,유궁귀,335,5
110,53e9fa00-652a-11f0-a768-59219107ad21,케케케,335,5
112,d9237510-62ce-11f0-b252-a1a047cc5cf1,2쁜2,334,5
112,9d719620-66eb-11f0-94fd-bd0b371894b0,김찍찍,334,5
112,6a129ac0-6454-11f0-9a7f-07d3d9b1e362,화염방구,334,5
112,57f19800-6297-11f0-bb52-81a4b8daea44,꿀맛,334,5
116,db7eabf0-6246-11f0-9ca6-b18ea4730904,디오,333,5
116,d96f7420-637c-11f0-9eda-a741004f5288,올타신영,333,5
118,15f5ff20-62f8-11f0-b4b3-99d44587a070,맘바,332,5
118,0577f1c0-64cf-11f0-920f-d9bd8a2a820c,미섬,332,5
120,8be8ad50-62c0-11f0-839f-d97137a128f6,수비,331,5
120,60c7def0-638f-11f0-9e16-f1cd993522e6,브이아이피,331,5
122,16c17dd0-64ab-11f0-95b9-835a4da747ff,홍만춘,330,5
122,13a9bd10-64d8-11f0-ad80-bf5616b7c1de,오브,330,5
124,f83fe2f0-6308-11f0-a53e-f720860fcc8a,윤관,329,5
124,cc82bad0-6456-11f0-8944-5327091948db,악에서구하소서,329,5
124,af1cc580-6a7d-11f0-b7a5-333dfc345c53,창사마,329,5
124,ab796910-66e5-11f0-abbe-1b148ce1c918,팜린,329,5
124,aa4af1c0-67c2-11f0-ad06-bdc4c662d62f,쿠쿵,329,5
124,6feec6a0-62fe-11f0-aafb-6f8fc69735d7,응아코,329,5
124,2b442c30-68b6-11f0-b6e5-1f4abc2a195f,갓세종,329,5
131,c8b05770-6224-11f0-9ed2-2327c5a1ff14,이로로,328,5
131,4530e240-622c-11f0-bbfd-8564365ef7ff,연우파파,328,5
131,04340f30-62a2-11f0-9c35-45ef6a487d5b,얼발,328,5
134,f6059820-646d-11f0-9929-49fcfc223a08,비스트롱,326,5
134,d11438a0-638c-11f0-9b51-d36a85c863a7,옴스옴스,326,5
134,c30b3370-62b1-11f0-bf6e-91ab11ffb732,vhl,326,5
134,b87858e0-64ad-11f0-a8b2-13458b8aee05,은선,326,5
134,6bc80120-62ce-11f0-a655-3f20d48333c3,딤이,326,5
134,5a28fec0-6958-11f0-8a8c-e705cbe6ed4d,Lr비,326,5
134,43fbf600-6761-11f0-be24-418e8460eee5,국뿅,326,5
134,0db07190-6494-11f0-a086-85e9f4d94fe9,사계절,326,5
142,b3d9fe30-63d4-11f0-8ce7-05e1fc9cefd2,도재,325,5
142,983c5c00-6388-11f0-8f97-2d546a0fbaf9,Henry,325,5
144,990e7120-658d-11f0-adae-f1d880840468,닷지,324,5
144,85d548f0-6262-11f0-97b4-198e3a6088ef,우치하이타치,324,5
146,f1f14840-6384-11f0-a716-97e6f4eb8e7d,일류,323,5
146,bec8be40-6563-11f0-b5ae-9f72a71a5588,건도,323,5
148,658596a0-6617-11f0-98c0-d9f4fe5058f5,세종더그레잇,322,5
148,4c1bc620-63e3-11f0-981c-6918ebc09e55,아즈,322,5
150,d1af65e0-64fa-11f0-89c4-91955faa19a3,바라기류,320,5
150,32803240-6457-11f0-8944-5327091948db,학준,320,5
152,81893170-6c54-11f0-8009-99d4c032fe19,신비디음,319,5
153,5ab73bd0-68e6-11f0-bd47-cf3af6acce80,백진,317,5
153,3285c700-6227-11f0-8853-493fc3ae34f0,마니비니,317,5
153,189e8e30-63da-11f0-b5a1-97526412eaf0,관절이아프구나,317,5
156,7edfb7c0-624d-11f0-92e7-a92a44042649,청명신,316,5
156,2b2c06d0-6304-11f0-af00-9b7f567d02d1,불태워버려,316,5
156,28e6bf50-61d3-11f0-94d1-0d70694c9e17,난세GPT,316,5
156,23ceec40-63d6-11f0-9eff-05b5a7fdbe0a,그것이섯다,316,5
156,0a6df760-666e-11f0-ba90-31fb5fd677bf,타난,316,5
161,a336c540-63ed-11f0-893e-c9eaafcb280d,기범배,314,5
161,8bf66300-623e-11f0-8e4e-3fc4beb87eac,열전,314,5
161,5d5039e0-67ac-11f0-bb8b-c18523618370,놀우,314,5
164,ad6125e0-6566-11f0-95fc-7353977bac62,규링,313,5
165,cfaab5f0-642e-11f0-83ae-cb0d7c1d5c99,흑천왕,312,5
165,c19cd6f0-6320-11f0-9bab-77b853254cef,사쿠라기,312,5
167,8c7a71a0-6463-11f0-a72c-e970bf999ff4,자료구조,311,5
167,75b9cc30-63b0-11f0-a58b-f92992047423,붕쯔붕쯔,311,5
169,f40f7300-6234-11f0-bbfd-8564365ef7ff,돼지수,309,5
169,731291f0-6519-11f0-998d-6361b2224259,12342,309,5
171,f81d3f80-63a7-11f0-a110-bf1368febfaf,도야수,307,5
171,10700620-675a-11f0-abfa-cf2722f87813,초홍볶,307,5
173,b2b1de00-66aa-11f0-b13b-29d1f77f9110,길옥,306,4
173,531cb400-64df-11f0-89c4-91955faa19a3,s불멸1s,306,4
173,39f38dd0-62de-11f0-a9e2-bd6cd50a5a78,KKOP,306,4
173,26917990-6645-11f0-8b69-1d5f20a7acdf,탕유닝,306,5
177,f22c3b60-62f5-11f0-b7c2-5907d7ac5d60,지냥,305,4
177,bea24000-622d-11f0-aa91-9b126fa90fce,팝콘티비시후,305,4
177,ae7777f0-6231-11f0-b293-3b55fd722626,호미걸이,305,4
180,4e198e60-6395-11f0-a4da-3d0ef443f21c,고먐미,303,5
181,f39c9c70-6533-11f0-a7f2-95dc17e8a4b9,나그넷길,302,4
181,99e14dd0-6456-11f0-8f1e-9b9f4436b281,당두두당,302,4
183,e7895a50-6438-11f0-a580-6783cb326665,나냐,301,4
183,bef40530-63bc-11f0-8d07-390a61232108,삼다수,301,4
183,90123870-63e1-11f0-981c-6918ebc09e55,비련,301,4
183,6ab40840-624e-11f0-8f87-f314bfeb1f3e,라꾸라꾸,301,4
183,3d9ada70-64cc-11f0-998d-6361b2224259,핑또,301,4
188,d6230660-647b-11f0-9c48-11e41ca3b3cb,개센놈,300,4
189,d078b610-6246-11f0-9c23-457fcdeb3714,하룻밤십만원,299,4
190,ef4d18a0-6a3a-11f0-9b5a-11326a6c8989,김하얀,298,4
190,a65c2e60-6530-11f0-a092-cfb4e8946e57,제로나인,298,4
190,6ecb6ab0-640e-11f0-83ae-cb0d7c1d5c99,조단비,298,4
193,c7a82ef0-63d4-11f0-a9da-8b915b889dd4,mc재명,297,4
193,51b74630-63a3-11f0-b630-4f8dc5617c79,더덕,297,4
195,f603b0d0-6253-11f0-ba61-57b32c8fdcaa,환세취호전,296,4
195,ed329a50-6269-11f0-bcbb-714564b525f4,아랑의혼,296,4
195,ea66b300-6530-11f0-85dd-2db918fca576,가륜,296,4
195,d2fca5d0-648b-11f0-9735-dfa72435bf25,루사,296,4
199,e84a8190-62f2-11f0-971e-0d9306189309,감자맛,295,4
199,d71df110-621e-11f0-a026-2b3e93922249,꽁꽁이,295,4
199,3e1f6910-6653-11f0-8157-83c241bc6c35,조노비,295,4
199,1f0db510-6462-11f0-baaf-45c3a00048ee,상영중,295,4
203,8e466490-644e-11f0-bfa2-af41fddaac3d,니가킬러,294,4
203,5dcaeff0-64be-11f0-bc9c-890ea1331a86,비발디,294,4
203,1c5661e0-63e1-11f0-80fd-8dc2ba771ecd,박달매,294,4
206,f3dceb50-6276-11f0-ba61-57b32c8fdcaa,국내산,293,4
206,9e15e300-6557-11f0-89db-abf6ccd76876,빙밍,293,4
208,ef4af740-619e-11f0-a1d0-915190c5d2fa,마캔,292,4
208,ebc09320-62be-11f0-b038-1df969c0d9a5,십정동꿀주먹,292,4
208,d8055f20-6474-11f0-a1b2-b796bafb6345,복실,292,4
208,b0ea06a0-6386-11f0-adf7-d1fabe44ecce,방귀꾼,292,4
208,a5591130-63ba-11f0-b6ab-ab1d57efd9b6,일주일만,292,4
208,9151a3e0-62fd-11f0-aafb-6f8fc69735d7,뱅포에틱,292,4
208,620f0270-6272-11f0-b63f-7755b72aa50f,쮸니,292,4
215,db13fa80-647b-11f0-9219-f9e5d8ffaccf,GaDo,291,4
215,be5eca40-63e1-11f0-8ce7-05e1fc9cefd2,민욱,291,4
215,af8b7a30-6298-11f0-ba61-57b32c8fdcaa,김햇반,291,4
