37061a30-8722-11f0-a9e7-2f19d0bed3ca,227700 ,260700 ," 33,000 ",
하품HS,227700 ,260700 ," 33,000 ",
58d5c9b0-6398-11f0-9e16-f1cd993522e6,4989600 ,5022600 ," 33,000 ",
심대표,4989600 ,5022600 ," 33,000 ",
8a38dcd0-9639-11f0-bb50-e15878e3cddc,634700 ,667700 ," 33,000 ",
현종,634700 ,667700 ," 33,000 ",
8de0bd40-6d07-11f0-8662-b3a8d615c0d7,1052700 ,1085700 ," 33,000 ",
마늘쫑,1052700 ,1085700 ," 33,000 ",
fa517be0-7211-11f0-83af-4745963871f2,625900 ,658900 ," 33,000 ",
리혜,625900 ,658900 ," 33,000 ",
baf848e0-63f0-11f0-990b-3fc68f8c80ee,56100 ,86900 ," 30,800 ",
세라라,56100 ,86900 ," 30,800 ",
5768ab00-6c31-11f0-98cb-9992c3b823e7,249700 ,279400 ," 29,700 ",
무우사무휼,249700 ,279400 ," 29,700 ",
5d7b89a0-630c-11f0-a53e-f720860fcc8a,7700 ,37400 ," 29,700 ",
미역,7700 ,37400 ," 29,700 ",
ef2dc190-a134-11f0-adfa-23dc9e3c63a9,783200 ,810700 ," 27,500 ",
저주거는노인,783200 ,810700 ," 27,500 ",
f0e4dc20-6ae9-11f0-b19c-67c669359d64,740300 ,762300 ," 22,000 ",
체리벼리,740300 ,762300 ," 22,000 ",
42cc9b40-6162-11f0-b3d1-87299bff9ff6,1538900 ,1556500 ," 17,600 ",
HYUCK,1538900 ,1556500 ," 17,600 ",
1c694070-7a44-11f0-a6f7-a3aeb985050f,460900 ,474100 ," 13,200 ",
nakju1,460900 ,474100 ," 13,200 ",
4ef455b0-67c1-11f0-a86b-6be161d85452,93500 ,106700 ," 13,200 ",
철도공사,93500 ,106700 ," 13,200 ",
9bf03a30-6e26-11f0-be5d-0122246d3da9,3682800 ,3696000 ," 13,200 ",
쌈쟁이,3682800 ,3696000 ," 13,200 ",
c87b70f0-7a2f-11f0-8e19-cf72656b400b,650100 ,663300 ," 13,200 ",
가별초,650100 ,663300 ," 13,200 ",
e0f246d0-9218-11f0-856a-eda90a12f622,1848000 ,1861200 ," 13,200 ",
허스칼,1848000 ,1861200 ," 13,200 ",
43ef9440-6640-11f0-b4ee-39fec46309cd,294800 ,305800 ," 11,000 ",
허요허요,294800 ,305800 ," 11,000 ",
4ac84310-63ee-11f0-bf41-c3e2fe979c75,1772100 ,1783100 ," 11,000 ",
태백,1772100 ,1783100 ," 11,000 ",
5bcc2270-623c-11f0-853f-4567daacb8e8,196900 ,207900 ," 11,000 ",
밈찌,196900 ,207900 ," 11,000 ",
77c7e4a0-a6ac-11f0-8ecd-5f1339e006a7,963600 ,974600 ," 11,000 ",
모쨔,963600 ,974600 ," 11,000 ",
7820d440-62b7-11f0-a89f-3182c3b8adb5,1208900 ,1219900 ," 11,000 ",
디우,1208900 ,1219900 ," 11,000 ",
9dfb1b30-623a-11f0-8ed7-4f4ea466921e,7700 ,18700 ," 11,000 ",
내가구운와플,7700 ,18700 ," 11,000 ",
9e284120-6e2c-11f0-a931-a30ac76d0ed7,490600 ,501600 ," 11,000 ",
Roq,490600 ,501600 ," 11,000 ",
ab45fa10-a34b-11f0-9aca-c12771bb28af,1074700 ,1085700 ," 11,000 ",
수류,1074700 ,1085700 ," 11,000 ",
eef7c640-6af6-11f0-b6ac-91e7f241e767,1384900 ,1395900 ," 11,000 ",
허어어니,1384900 ,1395900 ," 11,000 ",
c4cc3df0-6ac0-11f0-b02c-d5017a532635,320100 ,330000 ," 9,900 ",
스과,320100 ,330000 ," 9,900 ",
dbe82c51-669d-11f0-850c-5560f809d922,18700 ,26400 ," 7,700 ",
밍글이,18700 ,26400 ," 7,700 ",
2d04d730-69e3-11f0-9416-6d61d44d7bd3,3032700 ,3039300 ," 6,600 ",
그루터기,3032700 ,3039300 ," 6,600 ",
65b4b6d0-6a52-11f0-b350-274e47244e62,40700 ,44000 ," 3,300 ",
헤나,40700 ,44000 ," 3,300 ",
1f263dc0-7a69-11f0-9a29-559f62923361,61600 ,63800 ," 2,200 ",
joata,61600 ,63800 ," 2,200 ",
62f48640-647c-11f0-9c48-11e41ca3b3cb,25300 ,27500 ," 2,200 ",
재밌는친구,25300 ,27500 ," 2,200 ",
c9a11780-66ef-11f0-a331-1515e3bebb36,38500 ,40700 ," 2,200 ",
어왔니,38500 ,40700 ," 2,200 ",
40c562e0-647e-11f0-bd3a-59ec6d6002f0,3107500 ,3108600 ," 1,100 ",
드레옹,3107500 ,3108600 ," 1,100 ",
96e63620-7213-11f0-91c2-0d47c4209baa,1810600 ,1811700 ," 1,100 ",
zenz,1810600 ,1811700 ," 1,100 ",
b3087670-6ab0-11f0-aabe-19fce0d146b1,49500 ,50600 ," 1,100 ",
4827,49500 ,50600 ," 1,100 ",
b6db8210-7b04-11f0-8e56-25665b36740b,61600 ,62700 ," 1,100 ",
무사100동수,61600 ,62700 ," 1,100 ",
무랭이,1168200 ,1168200 , - ,
00ef0f70-64e9-11f0-89c4-91955faa19a3,456500 ,456500 , - ,
태굥,456500 ,456500 , - ,
016edd50-8694-11f0-9ba5-cd512d770b04,1290300 ,1290300 , - ,
기역니은디귿,1290300 ,1290300 , - ,
