"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_400 (App)","W:23_0A:19_0","59","{""Time"":""2025-10-31 22:36:15"",""UserUUID"":""b94d4330-7fd7-11f0-a931-3d66697d09d7"",""attendance_count"":59,""b.diamond"":136633,""b.ruby"":0,""boxAllCount"":3960,""curserver"":1,""install_day"":""2025-08-23"",""total_payment_amount"":7700,""user_name"":""아딜리시아"",""user_rank"":1995,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:20_0","37","{""Time"":""2025-10-31 22:03:49"",""UserUUID"":""5fe9be80-9946-11f0-8c6e-69cc8b846a6e"",""attendance_count"":37,""b.diamond"":103468,""b.ruby"":0,""boxAllCount"":8140,""curserver"":1,""install_day"":""2025-09-24"",""total_payment_amount"":117700,""user_name"":""냐냐냥"",""user_rank"":1980,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:22_0","50","{""Time"":""2025-10-31 21:33:04"",""UserUUID"":""6a961090-880c-11f0-99a2-3dbbe2e98f50"",""attendance_count"":50,""b.diamond"":253712,""b.ruby"":0,""boxAllCount"":10300,""curserver"":1,""install_day"":""2025-09-02"",""total_payment_amount"":7700,""user_name"":""혀늬"",""user_rank"":1980,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:19_0","68","{""Time"":""2025-10-31 18:52:54"",""UserUUID"":""95830fc0-7bef-11f0-9b4b-d1d630a60e88"",""attendance_count"":68,""b.diamond"":1046839,""b.ruby"":0,""boxAllCount"":3700,""curserver"":1,""install_day"":""2025-08-18"",""total_payment_amount"":7700,""user_name"":""이현아빠"",""user_rank"":1975,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","90","{""Time"":""2025-10-31 16:55:57"",""UserUUID"":""d0692980-6466-11f0-baaf-45c3a00048ee"",""attendance_count"":90,""b.diamond"":5040,""b.ruby"":0,""boxAllCount"":7930,""curserver"":1,""install_day"":""2025-07-19"",""total_payment_amount"":0,""user_name"":""김주호"",""user_rank"":1977,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:23_0","8","{""Time"":""2025-10-31 16:03:47"",""UserUUID"":""14209840-af6a-11f0-a748-09d81574daee"",""attendance_count"":8,""b.diamond"":365342,""b.ruby"":1650,""boxAllCount"":21460,""curserver"":1,""install_day"":""2025-10-22"",""total_payment_amount"":734800,""user_name"":""밍디밍디"",""user_rank"":1975,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:21_0","81","{""Time"":""2025-10-31 10:25:15"",""UserUUID"":""adb87fd0-75dc-11f0-9785-9d154ba93f8f"",""attendance_count"":81,""b.diamond"":17544,""b.ruby"":0,""boxAllCount"":16870,""curserver"":1,""install_day"":""2025-08-10"",""total_payment_amount"":0,""user_name"":""떼구르"",""user_rank"":2044,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:19_0","36","{""Time"":""2025-10-31 10:07:25"",""UserUUID"":""d2fa7860-9a40-11f0-baff-6196da93eeb9"",""attendance_count"":36,""b.diamond"":205623,""b.ruby"":0,""boxAllCount"":2220,""curserver"":1,""install_day"":""2025-09-25"",""total_payment_amount"":18700,""user_name"":""도라이야"",""user_rank"":2131,""user_stage"":400}"
"stage_reached_400 (App)","W:20_0A:19_0","13","{""Time"":""2025-10-31 06:24:02"",""UserUUID"":""e6d7bda0-acb2-11f0-9b8c-2d87bb6cd3f7"",""attendance_count"":13,""b.diamond"":448199,""b.ruby"":0,""boxAllCount"":1730,""curserver"":1,""install_day"":""2025-10-19"",""total_payment_amount"":381700,""user_name"":""딴딴뚠뚠"",""user_rank"":1976,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","50","{""Time"":""2025-10-31 01:38:53"",""UserUUID"":""5ff546f0-8f24-11f0-a21c-e77932a0d4a4"",""attendance_count"":50,""b.diamond"":294930,""b.ruby"":0,""boxAllCount"":12550,""curserver"":1,""install_day"":""2025-09-11"",""total_payment_amount"":40700,""user_name"":""뉴팡"",""user_rank"":2024,""user_stage"":400}"
